City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,User_Token
Shenzhen,Guangdong,China,,22.5559,114.0577,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,22876ae862c9
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Amazon Technologies Inc.,AWS EC2 (eu-west-2),"AS16509 Amazon.com, Inc.",184d9c1fbe5b
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,e50a294d88cd
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,71ab016e1013
,,,,,,,,,,1a1117445241
Palo Alto,California,United States,94304,37.4161,-122.146,America/Los_Angeles,Amazon.com,DXC US Latin America Corporation,,ea6fac33982e
Gothenburg,Västra Götaland County,Sweden,417 67,57.7065,11.967,Europe/Stockholm,Telia Company AB,Telia Network Services,AS3301 Telia Company AB,ab96f937ef26
St. John's,Newfoundland and Labrador,Canada,A1A,47.5556,-52.7453,America/St_Johns,Xplornet Communications Inc.,Xplornet Communications Inc.,,6926aea1d68a
Palo Alto,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,,89b5a34e5a6c
Fleurus,Wallonia,Belgium,6224,50.4764,4.5824,Europe/Brussels,UOFLIEGE,University of Liege,AS2611 BELNET,d87e77cee94e
Haidian,Beijing,China,,39.9071,116.301,Asia/Shanghai,CDWGNET,Cdwgnet,,8f25de2999e1
Enid,Oklahoma,United States,73703,36.3933,-97.9158,America/Chicago,Rackspace Hosting,Rackspace Hosting,AS33070 Rackspace Hosting,b46431c82b9e
Portland,Oregon,United States,97252,45.5242,-122.6684,America/Los_Angeles,Cogent Communications,Cogent communications - IPENG,AS174 Cogent Communications,5bcba745c6ad
Joinville,Santa Catarina,Brazil,89200,-26.2659,-48.9987,America/Sao_Paulo,TELEFÔNICA BRASIL S.A,Global Village Telecom,AS18881 TELEFÔNICA BRASIL S.A,fcc28689a432
Madrid,Madrid,Spain,28070,40.4168,-3.70379,Europe/Madrid,GTT Communications Inc.,Eptisa,AS3257 GTT Communications Inc.,4a227c9373cf
Kuala Lumpur,Kuala Lumpur,Malaysia,50515,3.1408,101.6852,Asia/Kuala_Lumpur,TM TECHNOLOGY SERVICES SDN BHD,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,d2bc480e4c1f
Fort Collins,Colorado,United States,80526,40.5603,-105.081,America/Denver,USDA,USDA Office of Operations,AS4152 USDA,264e45de2bfc
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,a6bb6dc55014
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,348c067e492d
Brisbane,Queensland,Australia,4101,-27.4719,153.0196,Australia/Brisbane,Telstra Corporation Limited,Telstra Corporation,AS1221 Telstra Corporation Ltd,b2f440c7de1f
Kuala Lumpur,Kuala Lumpur,Malaysia,50200,3.15252,101.711,Asia/Kuala_Lumpur,Global Transit Communications,Global Transit Communications,AS24218 Global Transit Communications - Malaysia,fb8f491d8148
Palo Alto,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett-Packard Company,Hewlett-Packard Company,,937e99377a8f
Gayang-dong,Daejeon,South Korea,300090,36.3476,127.451,Asia/Seoul,Daejeon Helath Sciences College,Kren,AS18029 Daejeon Helath Sciences College,ce50cbbec476
Zhengzhou,Henan,China,450000,34.7472,113.625,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone,4ff35e789077
Namyangju,Gyeonggi-do,South Korea,,37.6524,127.308,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,1c4a782d8109
Jacksonville,Florida,United States,32255,30.3322,-81.6556,America/New_York,"Arachnitec, INC.",High Speed Web/Genesis 2 Networks,"AS6921 Arachnitec, INC.",c08a8a95f15b
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,ab04b1a5d1e7
Ashburn,Virginia,United States,20149,39.0438,-77.4874,America/New_York,Amazon Technologies Inc.,AWS EC2 (us-east-1),"AS14618 Amazon.com, Inc.",dadac6480eca
Åmot,Buskerud,Norway,3340,59.9065,9.9194,Europe/Oslo,Telenor Mobil,,AS2119 Telenor Norge AS,85d35fd70225
Namdong-gu,Incheon,South Korea,216,37.3943,126.708,Asia/Seoul,ITIS,,AS9317 INHA UNIVERSITY,d1d6e5b6f8bf
Bilbao,Basque Country,Spain,48012,43.263,-2.9351,Europe/Madrid,Universidad del Pais Vasco / Euskal Herriko Unibertsitatea,Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,AS15488 Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,9ebd51e9b419
Hibarigaoka,Tokyo,Japan,179-0072,35.7545,139.6249,Asia/Tokyo,"JCOM Co., Ltd.","JCOM Co., Ltd","AS9824 JCOM Co., Ltd.",2d51073c2036
,,,,,,,,,,2a155835eef5
Redwood City,California,United States,94065,37.5307,-122.262,America/Los_Angeles,Oracle Corporation,Oracle Corporation,,9ec84aea6c9e
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Morgan Stanley Group Inc.,Morgan Stanley Group Inc,,c7fe3bfc5bee
Miami,Florida,United States,33197,25.7689,-80.1946,America/New_York,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc.",78bd05eeaacd
Hong Kong,Central and Western District,Hong Kong,0,22.267,114.188,Asia/Hong_Kong,Microsoft Corporation,Microsoft Azure Cloud (eastasia),AS8075 Microsoft Corporation,9da3001be494
Bielefeld,North Rhine-Westphalia,Germany,33602,52.0231,8.53375,Europe/Berlin,T-Systems International GmbH,T-Systems International GmbH,,eba965aa98ae
,,,,,,,,,,d6993d6ed69e
Düsseldorf,North Rhine-Westphalia,Germany,40213,51.2277,6.77346,Europe/Berlin,Telefonica Germany GmbH & Co. OHG,Telefonica Germany GmbH & Co.,AS6805 Telefonica Germany GmbH & Co.OHG,ee117164d8c8
,,,,,,,,,,5f76c2f42c4b
Kampala,Central Region,Uganda,,0.321,32.5714,Africa/Kampala,National Information Technology Authority Uganda,National Information Technology Authority Uganda,AS327724 National Information Technology Authority Uganda,96d62934d0c0
Lissone,Lombardy,Italy,20851,45.6132,9.24262,Europe/Rome,Hivelocity Inc,Atik Srl,AS61317 Hivelocity Inc,8ea1ce4cc2da
Chiyoda,Tokyo,Japan,100-8111,35.6916,139.768,Asia/Tokyo,"Hitachi, Ltd., Managed Services Business Division","Hitachi Systems, Ltd.","AS59109 Hitachi,Ltd., Managed Services Business Division",10832a34941b
Houston,Texas,United States,77056,29.7496,-95.474,America/Chicago,Schlumberger Limited,Schlumberger Limited,AS72 Schlumberger Limited,57dbd65d65a6
,,,,,,,,,,9194102d1200
,,,,,,,,,,55a315acc1bc
Barrington,Rhode Island,United States,2806,41.7439,-71.3179,America/New_York,i3 Broadband,i3 Broadband,AS25710 i3 Broadband,ced77e8e595b
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Corporation,Microsoft Corporation,,93c420225b86
Minato-ku,Tokyo,Japan,104-0045,35.6629,139.761,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK Corp.,AS17676 SoftBank Corp.,7e8a7b6580b8
Lexington-Fayette,Kentucky,United States,40509,37.9924,-84.3752,America/New_York,Spectrum,Road Runner,AS10796 Charter Communications Inc,f8d1a3f134bc
North Charleston,South Carolina,United States,,32.8771,-80.013,America/New_York,Google LLC,Google Cloud (us-east1),AS396982 Google LLC,7b6debdb2b73
Aurora,Illinois,United States,60506,41.7688,-88.3405,America/Chicago,"AT&T Services, Inc.","HYPER-IT SERVICES, LLC","AS7018 AT&T Services, Inc.",515ff5df6e87
Frankfurt am Main,Hesse,Germany,60313,50.1109,8.68213,Europe/Berlin,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center,4cba233992d2
Stockholm,Stockholm County,Sweden,100 05,59.3293,18.0686,Europe/Stockholm,PROSECUTE,,,7059b4d1485b
Santo Domingo,Nacional,Dominican Republic,10145,18.4627,-69.9362,America/Santo_Domingo,Banco Multiple BHD Leon SA,Banco Multiple BHD Leon SA,AS271959 BANCO MULTIPLE BHD LEON SA,c3b80ac78871
,,,,,,,,,,706d220bfb49
Norwalk,Connecticut,United States,6851,41.0928,-73.4197,America/New_York,FactSet Research Systems,"FactSet Research Systems, Inc",,ff87fa2fe3c4
Marcheprime,Nouvelle-Aquitaine,France,33380,44.6916,-0.8456,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS,9124c8b1c956
Beijing,Beijing,China,,39.9042,116.407,Asia/Shanghai,Alibaba.com Singapore E-Commerce Private Limited,Aliyun Computing Co.,,66499d688303
Milan,Lombardy,Italy,20121,45.4642,9.18998,Europe/Rome,Telecom Italia Mobile,Telecom Italia S.p.A.,AS16232 Telecom Italia S.p.A.,cadc3dae6936
Prague,Prague,Czechia,110 00,50.0883,14.4124,Europe/Prague,T-Mobile Czech Republic,PC-Datacode s.r.o.,AS13036 T-Mobile Czech Republic a.s.,01c19f415226
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,China Telecom,"Beijing Yunlin Network Technology Co., Ltd","AS136188 NINGBO, ZHEJIANG Province, P.R.China.",9325c9cde15f
Amsterdam,New York,United States,12010,42.9559,-74.1681,America/New_York,Spectrum,"Road Runner, VoIP Residential",AS11351 Charter Communications Inc,b91a4243fdfa
Phoenix,Arizona,United States,85001,33.448376,-112.074036,America/Phoenix,Microsoft Corporation,Microsoft Azure Cloud (westus3),AS8075 Microsoft Corporation,f171efc3fc56
,,,,,,,,,,c94e4607fce5
Norfolk,Virginia,United States,23501,36.9151,-76.1866,America/New_York,DoD Network Information Center,Navy Network Information Center,AS647 DoD Network Information Center,cdec1698164b
Mountain View,California,United States,94043,37.422,-122.084,America/Los_Angeles,Google LLC,Google LLC,AS396982 Google LLC,6b9a22239783
,,,,,,,,,,ef2c57b5c4cc
,,,,,,,,,,a2da57486318
Paris,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA,7c19def56165
Caracas,Miranda,Venezuela,,10.4969,-66.8432,America/Caracas,"TELEFONICA VENEZOLANA, C.A.","TELEFONICA VENEZOLANA, C.A","AS6306 TELEFONICA VENEZOLANA, C.A.",a83d7a8f0a4a
Raleigh,North Carolina,United States,27668,35.838,-78.6122,America/New_York,United States Postal Service.,United States Postal Service,,b5488eb5956d
Kuala Lumpur,Kuala Lumpur,Malaysia,59200,3.1191,101.6747,Asia/Kuala_Lumpur,TM TECHNOLOGY SERVICES SDN BHD,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,35c4f621425b
Seoul,Seoul,South Korea,45,37.5529,126.9502,Asia/Seoul,Konkuk University,Konkuknet,AS9459 Konkuk University,126d56461d25
Charles Town,West Virginia,United States,25414,39.2825,-77.8522,America/New_York,Comcast Cable Communications,"Comcast Cable Communications Holdings, Inc","AS33657 Comcast Cable Communications, LLC",3e69981646af
Hamburg,Free and Hanseatic City of Hamburg,Germany,22587,53.5639,9.8002,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,55f58f841c52
Toronto,Ontario,Canada,M5A,43.709,-79.4057,America/Toronto,Cogent Communications,Diallog Telecommunications Corp,AS174 Cogent Communications,cc92d82b32ab
Sannomaru,Aichi,Japan,460-0001,35.179,136.8939,Asia/Tokyo,KATCH Network Inc.,KATCH,AS59108 KATCH NETWORK INC.,5305f083b494
Tempe,Arizona,United States,85284,33.3359,-111.894,America/Phoenix,"GoDaddy.com, LLC","GoDaddy.com, LLC","AS26496 GoDaddy.com, LLC",fb2474aea41c
Seongnam-si,Gyeonggi-do,South Korea,13606,37.3638,127.122,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,95f2f04e96af
,,,,,,,,,,5754c112da5c
,,,,,,,,,,df0dac350f19
Ewirgol,Xinjiang,China,,42.5246,87.5396,Asia/Urumqi,CHINATELECOM Xinjiang Kezhou MAN network,Chinanet XJ,AS137694 CHINATELECOM Xinjiang Kezhou MAN network,c8969914d59d
,,,,,,,,,,4ede5b6d9e67
Schwedt,Brandenburg,Germany,16303,53.0597,14.2815,Europe/Berlin,Stadtwerke Schwedt,Stadtwerke Schwedt GmbH,AS61028 Stadtwerke Schwedt GmbH,608331a9cbc0
,,,,,,,,,,562e490fa577
Round Rock,Texas,United States,78665,30.5154,-97.6689,America/Chicago,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",15807efe6c4d
,,,,,,,,,,948f97361762
Palo Alto,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,,206451459dfa
New York,New York,United States,10123,40.7128,-74.006,America/New_York,Charter Communications,Spectrum,AS16787 Charter Communications,96cc45a15d78
São Paulo,São Paulo,Brazil,01000-000,-23.5505,-46.6333,America/Sao_Paulo,Amazon Technologies Inc.,AWS EC2 (sa-east-1),"AS16509 Amazon.com, Inc.",9eebe8a7c8a6
Zhoutou,Hebei,China,,37.8957,114.904,Asia/Shanghai,China Unicom China169 Network,,AS4837 CHINA UNICOM China169 Backbone,263a33f3d3b6
Hoogeveen,Drenthe,The Netherlands,7901,52.7286,6.4901,Europe/Amsterdam,VODAFONE,,AS15480 Vodafone Libertel B.V.,8ebc3545d9dd
Seongnam-si,Gyeonggi-do,South Korea,13606,37.3638,127.122,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,27da118ea9a5
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,4920227315ce
McCall,Idaho,United States,83638,44.8885,-116.0742,America/Boise,Wholesail networks LLC,Ziply Fiber,AS20055 Wholesail networks LLC,930c872d54ef
Vienna,Vienna,Austria,1010,48.2082,16.3738,Europe/Vienna,KYNDR,,,ababa5d3c2e7
Calgary,Alberta,Canada,T2C,50.9595,-114.011,America/Edmonton,Imperial Oil Limited,Imperial Oil Limited,,0d864572fdd3
Boydton,Virginia,United States,23917,36.677696,-78.37471,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus),AS8075 Microsoft Corporation,17e608b42793
Taiyuan,Shanxi,China,,37.8648,112.5636,Asia/Shanghai,Chinanet,Sxpdsn,AS4134 CHINANET-BACKBONE,07cf63b88eda
Brisbane,Queensland,Australia,4305,-27.5923,152.7323,Australia/Brisbane,SingTel Optus Pty Ltd,Optus Internet Pty Ltd,AS4804 Microplex PTY LTD,4b0e2eb54f06
Umraniye,Istanbul,Turkey,34860,40.9179,29.1776,Europe/Istanbul,Superonline Iletisim Hizmetleri A.S.,Superonline Iletisim Hizmetleri,AS34984 Superonline Iletisim Hizmetleri A.S.,53e16bffda10
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,BSHNET,"Beijing Bosheng Technology Co., Ltd.",,b9f76e9f3716
Santiago,Santiago Metropolitan,Chile,34033,-33.4569,-70.6483,America/Santiago,Informatica Bluehosting Limitada,Informatica Bluehosting Limitada,AS64111 INFORMATICA BLUEHOSTING LIMITADA,536689a11fc4
Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc.",,975afa73f02c
,,,,,,,,,,701d2d2e7c29
Montgomery,Alabama,United States,36114,32.4033,-86.2383,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center,ffac6c411c9f
Long Beach,California,United States,90815,33.7903,-118.1215,America/Los_Angeles,Northrop Grumman,TRW Space and Defense Sector,AS1906 Northrop Grumman,e96d204fec7e
,,,,,,,,,,ebbef47bfaa8
Antwerp,Flanders,Belgium,2050,51.2192,4.3917,Europe/Brussels,Mobistar Cable,Mobistar Enterprise Services,AS47377 Orange Belgium SA,56510b1b03a8
Minato-ku,Tokyo,Japan,104-0045,35.6629,139.761,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK Corp.,AS17676 SoftBank Corp.,c8925471ae59
,,,,,,,,,,bc112d9374b2
Carlow,Leinster,Ireland,R93,52.8262,-6.93828,Europe/Dublin,RTC-CARLOW,Institute of Technology Carlow,AS1213 HEAnet CLG,35eeb08ebc36
Orland Park,Illinois,United States,60462,41.6172,-87.8419,America/Chicago,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33491 Comcast Cable Communications, LLC",65cc9f8d7fd5
Monterrey,Nuevo León,Mexico,64260,25.6724,-100.373,America/Monterrey,Axtel - Recursos WiMAX,Axtel - Recursos WiMAX,,99d28a340a32
Shanghai,Shanghai,China,,31.2304,121.474,Asia/Shanghai,China Telecom (Group),Chinanet SH,AS4812 China Telecom (Group),acdd07b66a42
Blacksburg,Virginia,United States,24061,37.2037,-80.4143,America/New_York,Virginia Polytechnic Institute and State Univ.,Virginia Polytechnic Institute and State Univ.,AS1312 Virginia Polytechnic Institute and State Univ.,d76282ac26c6
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,c3f3d4ddc308
,,,,,,,,,,b5c28c39fa4e
,,,,,,,,,,207043fa85b0
Perm,Perm Krai,Russia,614000,58.0041,56.2397,Asia/Yekaterinburg,OJSC uralsvyazinform,Dynamic distribution IPs for broadband services,AS12389 PJSC Rostelecom,c0e99627ad65
Dorval,Quebec,Canada,H9S,45.4408,-73.7779,America/Toronto,Beanfield Technologies Inc.,Beanfield Technologies Inc,AS21548 Beanfield Technologies Inc.,d68329f19b49
Heredia,Heredia Province,Costa Rica,40703,9.9717,-84.1722,America/Costa_Rica,Instituto Costarricense de Electricidad y Telecom.,San Pedro,AS11830 Instituto Costarricense de Electricidad y Telecom.,a35ce0190256
Machakos,Machakos County,Kenya,,-1.5202,37.2646,Africa/Nairobi,Airtel KE Mobile & Fixed Internet,,AS327708 Airtel Rwanda Ltd,124f5d0ebfc9
,,,,,,,,,,658c4f908be2
Givors,Auvergne-Rhône-Alpes,France,69700,45.5851,4.7773,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA,5cf9bf4ab38e
Mountain View,California,United States,94043,37.422,-122.084,America/Los_Angeles,Google LLC,Google LLC,AS396982 Google LLC,2514e61e966e
Indianapolis,Indiana,United States,46204,39.7709,-86.1585,America/Chicago,"AT&T Services, Inc.","AT&T Services, Inc.","AS7018 AT&T Services, Inc.",2e150b4f4899
Kyiv,Kyiv City,Ukraine,1010,50.4501,30.5234,Europe/Kiev,Lifecell UA,Turkcell LLC,"AS34058 Limited Liability Company ""lifecell""",a909816738be
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,0c18d74f655b
Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,8c1bd8385d60
Munich,Bavaria,Germany,80939,48.1823,11.5969,Europe/Berlin,A100 ROW Inc,A100 ROW Inc,,450b2cc84c73
San Salvador de Jujuy,Jujuy,Argentina,4600,-24.2028,-65.175,America/Argentina/Jujuy,TV MUSIC HOUSE JUJUY,TV MUSIC HOUSE JUJUY,AS52312 TV MUSIC HOUSE JUJUY,8ee0b9f0ee69
,,,,,,,,,,0831cfca5807
Framingham,Massachusetts,United States,1701,42.3026,-71.4306,America/New_York,"Akamai Technologies, Inc.",The Bank of New York Mellon Corporation,"AS32787 Akamai Technologies, Inc.",182cdc6c3b51
Denver,Colorado,United States,80221,39.8334,-105.004,America/Denver,Lockheed Martin Corporation,Lockheed Martin Corporation,,8ae5d2783498
,,,,,,,,,,72c89a214eb7
Redwood City,California,United States,94065,37.5307,-122.262,America/Los_Angeles,Oracle Corporation,Oracle Corporation,,610e809ae366
Pembroke,New Hampshire,United States,3275,43.1635,-71.4038,America/New_York,Dartmouth-Hitchcock Medical Center,Dartmouth Hitchcock Medical Center,AS11197 Dartmouth-Hitchcock Medical Center,feaf78b448ec
Sofia,Sofia-Capital,Bulgaria,1000,42.6605,23.383,Europe/Sofia,Vivacom Bulgaria EAD,Bulgarian Telecommunications Company Plc.,AS8866 Vivacom Bulgaria EAD,06862787d443
,,,,,,,,,,d593fe474b41
Xiaolou,Guangdong,China,,23.379,113.763,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,d56da3a2332b
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,,d220487a35c4
Mechanicsburg,Pennsylvania,United States,17055,40.1788,-77.0047,America/New_York,Comcast Cable Communications,"Comcast IP Services, L.L.C.","AS7016 Comcast Cable Communications, LLC",b7239cbc4d82
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,54b039562e01
Ann Arbor,Michigan,United States,48108,42.2139,-83.745,America/Detroit,Merit Network Inc.,Merit Network Inc,AS237 Merit Network Inc.,4144010c93eb
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,ee4262ff951e
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS3561 CenturyLink Communications, LLC",c426300d08c4
Kuy-e Ekhtesasi-ye Gomrok,Tehran,Iran,,35.6965,51.3401,Asia/Tehran,Information Technology Company,,AS58224 Iran Telecommunication Company PJS,3f68b79355f1
,,,,,,,,,,5010ce2b04b5
,,,,,,,,,,244ede7eb6ca
Aurora,Colorado,United States,80012,39.6973,-104.8394,America/Denver,"Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","AS33652 Comcast Cable Communications, LLC",10d8f8c6fd90
,,,,,,,,,,0d4e87dc16c8
Huamu,Shanghai,China,,31.2069,121.599,Asia/Shanghai,Oriental Cable Network Co,"Oriental Cable Network Co., Ltd.","AS9812 Oriental Cable Network Co., Ltd.",a80dd26be26d
Settimo Torinese,Piedmont,Italy,10036,45.1417,7.7681,Europe/Rome,Vodafone,,AS30722 Vodafone Italia S.p.A.,9801ee45faa0
Kista,Stockholm County,Sweden,164 00,59.4059,17.9539,Europe/Stockholm,Ericsson Inc.,Ericsson AB,AS158 Ericsson Inc.,a58409a9845d
,,,,,,,,,,aab1cc38f12b
Cape Town,Western Cape,South Africa,7441,-33.91,18.4304,Africa/Johannesburg,Vodacom UMTS Cape Town Western Cape INTERNET APN,,AS29975 Vodacom,3321b0f1f93d
Indianapolis,Indiana,United States,46204,39.7709,-86.1585,America/Chicago,AT&T Services,"AT&T Services, Inc.",,b7595017d9c2
,,,,,,,,,,538629a17ed6
Linkou District,New Taipei,Taiwan,,25.0738,121.3935,Asia/Taipei,T-TYRC.EDU.TW,National Central University,AS1659 Taiwan Academic Network (TANet) Information Center,c5d656839681
,,,,,,,,,,527b82a35512
Hyderabad,Telangana,India,500032,17.3724,78.4378,Asia/Kolkata,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,AS55836 Reliance Jio Infocomm Limited,8a21fa171ec1
Tokyo,Tokyo,Japan,151-0071,35.6837,139.6805,Asia/Tokyo,NTN,NTN corporation,"AS2514 NTT PC Communications, Inc.",eb125db37e0f
Fortaleza,Ceará,Brazil,60000,-3.7138,-38.5285,America/Fortaleza,Secretaria Municipal De Planejamento Orcamento E G,Secretaria Municipal De Planejamento Orcamento E G,AS269175 SECRETARIA MUNICIPAL DE PLANEJAMENTO ORCAMENTO E G,350e9d383e70
New York,New York,United States,10123,40.7128,-74.006,America/New_York,Verizon Business,Verizon Business,AS22394 Verizon Business,7cba15e078c6
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,de8c7c02110f
,,,,,,,,,,eec19a2b7a08
Chiyoda,Tokyo,Japan,100-8111,35.6916,139.768,Asia/Tokyo,NTT Communications Corporation,Mitsubishi Corporation,AS4713 NTT Communications Corporation,eb75cc3a3092
Shimomeguro,Tokyo,Japan,153-0061,35.6418,139.7023,Asia/Tokyo,Keio University,KEIO,AS38635 Keio University,1f4fbb37bea8
Shumen,Shumen,Bulgaria,9700,43.2612,26.9086,Europe/Sofia,A1 Bulgaria EAD,Blizoo Media and Broadband EAD,AS13124 A1 Bulgaria EAD,4c4b60491290
Atlanta,Georgia,United States,30302,33.749,-84.388,America/New_York,"Wayport, LLC","Wayport, LLC",AS14654 AT&T Corp.,f39a6a470a01
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS367 DoD Network Information Center,dec7d9baca4f
,,,,,,,,,,b17e1a4cf5b3
Bedlington,England,United Kingdom,NE22,55.1312,-1.5887,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC,cda97fa0bf0a
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,"Headquarters, USAISC",USAISC,"AS1530 Headquarters, USAISC",1bd30bf6b201
Tallinn,Harjumaa,Estonia,,59.4352,24.7149,Europe/Tallinn,Telia Eesti AS,Elion Enterprises Ltd.,AS3249 Telia Eesti AS,2e3ae2582332
Oslo,Oslo County,Norway,1,59.9016,10.7343,Europe/Oslo,Norsk Regnesentral,NR NCC,AS59863 Norsk Regnesentral,9c2f12ff2d3a
Toronto,Ontario,Canada,,43.6532,-79.3832,America/Toronto,Hewlett Packard Enterprise Company,Amazon Technologies Inc. (ca-central-1),,9a78bc3a0fa1
Ningbo,Zhejiang,China,,29.8752,121.5564,Asia/Shanghai,Chinanet,,AS4134 CHINANET-BACKBONE,f5d38618c810
London,England,United Kingdom,W1B,51.5072,-0.127586,Europe/London,DWP,,,25302a637b29
Hong Kong,Central and Western District,Hong Kong,,22.3193,114.1693,Asia/Hong_Kong,Shenzhen Tencent Computer Systems Company Limited,Tencent Cloud Computing,"AS132203 Tencent Building, Kejizhongyi Avenue",b9a7155c8b3f
Chennai,Tamil Nadu,India,600041,12.8996,80.2209,Asia/Kolkata,Hathway IP over Cable Internet Access,Hathway Cable and Datacom Limited,AS17488 Hathway IP Over Cable Internet,e1bd946d377d
San Jose,California,United States,95141,37.3382,-121.886,America/Los_Angeles,Akamai International B.V.,"Akamai Technologies, Inc.",AS20940 Akamai International B.V.,c20cd29368ce
Friesoythe,Lower Saxony,Germany,26169,53.0162,7.862,Europe/Berlin,EWE TEL GmbH,EWE TEL GmbH,AS9145 EWE TEL GmbH,2c45842c5f8f
Vienna,Vienna,Austria,1090,48.2324,16.3518,Europe/Vienna,A1 Telekom Austria AG,A1 Telekom Austria AG,AS8447 A1 Telekom Austria AG,e6bc38c87020
Charlotte,North Carolina,United States,28273,35.1497,-80.9461,America/New_York,Atos IT Solutions and Services Inc,Arrowpoint Capital,AS33745 Atos IT Solutions and Services Inc,b50c27bfcbcd
Princeton,New Jersey,United States,8540,40.3613,-74.5993,America/New_York,S&P Global Inc.,S&P Global Inc,,e4bd47e41403
Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,47734437bc65
,,,,,,,,,,88fe768096b6
