9,"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","Unemployed / NA","Unemployed / NA","*"
7010,"Computer, Automated Teller, And Office Machine Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7020,"Radio And Telecommunications Equipment Installers And Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7030,"Avionics Technicians","Maintenance & Repair","Trade / Manual Labor","*"
7040,"Electric Motor, Power Tool, And Related Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7100,"Other Electrical And Electronic Equipment Mechanics, Installers, And Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7120,"Audiovisual Equipment Installers And Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7130,"Security And Fire Alarm Systems Installers","Maintenance & Repair","Trade / Manual Labor","*"
7140,"Aircraft Mechanics And Service Technicians","Maintenance & Repair","Trade / Manual Labor","*"
7150,"Automotive Body And Related Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7160,"Automotive Glass Installers And Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7200,"Automotive Service Technicians And Mechanics","Maintenance & Repair","Trade / Manual Labor","*"
7210,"Bus And Truck Mechanics And Diesel Engine Specialists","Maintenance & Repair","Trade / Manual Labor","*"
7220,"Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","Maintenance & Repair","Trade / Manual Labor","*"
7240,"Small Engine Mechanics","Maintenance & Repair","Trade / Manual Labor","*"
7260,"Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7300,"Control And Valve Installers And Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7315,"Heating, Air Conditioning, And Refrigeration Mechanics And Installers","Maintenance & Repair","Trade / Manual Labor","*"
7320,"Home Appliance Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7330,"Industrial And Refractory Machinery Mechanics","Maintenance & Repair","Trade / Manual Labor","*"
7340,"Maintenance And Repair Workers, General","Maintenance & Repair","Trade / Manual Labor","*"
7350,"Maintenance Workers, Machinery","Maintenance & Repair","Trade / Manual Labor","*"
7360,"Millwrights","Maintenance & Repair","Trade / Manual Labor","*"
7410,"Electrical Power-Line Installers And Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7420,"Telecommunications Line Installers And Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7430,"Precision Instrument And Equipment Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7510,"Coin, Vending, And Amusement Machine Servicers And Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7540,"Locksmiths And Safe Repairers","Maintenance & Repair","Trade / Manual Labor","*"
7560,"Riggers","Maintenance & Repair","Trade / Manual Labor","*"
7610,"Helpers--Installation, Maintenance, And Repair Workers","Maintenance & Repair","Trade / Manual Labor","*"
7640,"Other Installation, Maintenance, And Repair Workers","Maintenance & Repair","Trade / Manual Labor","*"
7700,"First-Line Supervisors Of Production And Operating Workers","Production","Trade / Manual Labor","*"
7720,"Electrical, Electronics, And Electromechanical Assemblers","Production","Trade / Manual Labor","*"
7730,"Engine And Other Machine Assemblers","Production","Trade / Manual Labor","*"
7740,"Structural Metal Fabricators And Fitters","Production","Trade / Manual Labor","*"
7750,"Other Assemblers And Fabricators","Production","Trade / Manual Labor","*"
7800,"Bakers","Production","Trade / Manual Labor","*"
7810,"Butchers And Other Meat, Poultry, And Fish Processing Workers","Production","Trade / Manual Labor","*"
7830,"Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","Production","Trade / Manual Labor","*"
7840,"Food Batchmakers","Production","Trade / Manual Labor","*"
7850,"Food Cooking Machine Operators And Tenders","Production","Trade / Manual Labor","*"
7855,"Food Processing Workers, All Other","Production","Trade / Manual Labor","*"
7905,"Computer Numerically Controlled Tool Operators And Programmers","Production","Trade / Manual Labor","*"
7925,"Forming Machine Setters, Operators, And Tenders, Metal And Plastic","Production","Trade / Manual Labor","*"
7950,"Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","Production","Trade / Manual Labor","*"
8000,"Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal And Plastic","Production","Trade / Manual Labor","*"
8025,"Other Machine Tool Setters, Operators, And Tenders, Metal and Plastic","Production","Trade / Manual Labor","*"
8030,"Machinists","Production","Trade / Manual Labor","*"
8040,"Metal Furnace Operators, Tenders, Pourers, And Casters","Production","Trade / Manual Labor","*"
8100,"Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","Production","Trade / Manual Labor","*"
8130,"Tool And Die Makers","Production","Trade / Manual Labor","*"
8140,"Welding, Soldering, And Brazing Workers","Production","Trade / Manual Labor","*"
8225,"Other Metal Workers And Plastic Workers","Production","Trade / Manual Labor","*"
8250,"Prepress Technicians And Workers","Production","Trade / Manual Labor","*"
8255,"Printing Press Operators","Production","Trade / Manual Labor","*"
8256,"Print Binding And Finishing Workers","Production","Trade / Manual Labor","*"
8300,"Laundry And Dry-Cleaning Workers","Production","Trade / Manual Labor","*"
8310,"Pressers, Textile, Garment, And Related Materials","Production","Trade / Manual Labor","*"
8320,"Sewing Machine Operators","Production","Trade / Manual Labor","*"
8335,"Shoe And Leather Workers","Production","Trade / Manual Labor","*"
8350,"Tailors, Dressmakers, And Sewers","Production","Trade / Manual Labor","*"
8365,"Textile Machine Setters, Operators, And Tenders","Production","Trade / Manual Labor","*"
8450,"Upholsterers","Production","Trade / Manual Labor","*"
8465,"Other Textile, Apparel, And Furnishings Workers","Production","Trade / Manual Labor","*"
8500,"Cabinetmakers And Bench Carpenters","Production","Trade / Manual Labor","*"
8510,"Furniture Finishers","Production","Trade / Manual Labor","*"
8530,"Sawing Machine Setters, Operators, And Tenders, Wood","Production","Trade / Manual Labor","*"
8540,"Woodworking Machine Setters, Operators, And Tenders, Except Sawing","Production","Trade / Manual Labor","*"
8555,"Other Woodworkers","Production","Trade / Manual Labor","*"
8600,"Power Plant Operators, Distributors, And Dispatchers","Production","Trade / Manual Labor","*"
8610,"Stationary Engineers And Boiler Operators","Production","Trade / Manual Labor","*"
8620,"Water And Wastewater Treatment Plant And System Operators","Production","Trade / Manual Labor","*"
8630,"Miscellaneous Plant Operators","Production","Trade / Manual Labor","*"
8640,"Chemical Operators","Production","Trade / Manual Labor","*"
8650,"Crushing, Grinding, Polishing, Mixing, And Blending Workers","Production","Trade / Manual Labor","*"
8710,"Cutting Workers","Production","Trade / Manual Labor","*"
8720,"Machine Tenders","Production","Trade / Manual Labor","*"
8730,"Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","Production","Trade / Manual Labor","*"
8740,"Inspectors, Testers, Sorters, Samplers, And Weighers","Production","Trade / Manual Labor","*"
8750,"Jewelers And Precious Stone And Metal Workers","Production","Trade / Manual Labor","*"
8760,"Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","Production","Trade / Manual Labor","*"
8800,"Packaging And Filling Machine Operators And Tenders","Production","Trade / Manual Labor","*"
8810,"Painting Workers","Production","Trade / Manual Labor","*"
8830,"Photo Workers","Production","Trade / Manual Labor","*"
8850,"Adhesive Operators","Production","Trade / Manual Labor","*"
8910,"Etchers And Engravers","Production","Trade / Manual Labor","*"
8920,"Molders, Shapers, And Casters, Except Metal And Plastic","Production","Trade / Manual Labor","*"
8930,"Paper Goods Machine Setters, Operators, And Tenders","Production","Trade / Manual Labor","*"
8940,"Tire Builders","Production","Trade / Manual Labor","*"
8950,"Helpers--Production Workers","Production","Trade / Manual Labor","*"
8990,"Miscellaneous Production Workers, Including Equipment Operators And Tenders","Production","Trade / Manual Labor","*"
9005,"Supervisors Of Transportation And Material Moving Workers","Transportation","Trade / Manual Labor","*"
9030,"Aircraft Pilots And Flight Engineers","Transportation","Trade / Manual Labor","*"
9040,"Air Traffic Controllers","Transportation","Trade / Manual Labor","*"
9050,"Flight Attendants","Transportation","Trade / Manual Labor","*"
9110,"Ambulance Drivers And Attendants, Except Emergency Medical Technicians","Transportation","Trade / Manual Labor","*"
9121,"Bus Drivers, School","Transportation","Trade / Manual Labor","*"
9122,"Bus Drivers, Transit And Intercity","Transportation","Trade / Manual Labor","*"
9130,"Driver/Sales Workers And Truck Drivers","Transportation","Trade / Manual Labor","*"
9141,"Shuttle Drivers And Chauffeurs","Transportation","Trade / Manual Labor","*"
9142,"Taxi Drivers","Transportation","Trade / Manual Labor","*"
9150,"Motor Vehicle Operators, All Other","Transportation","Trade / Manual Labor","*"
9210,"Locomotive Engineers And Operators","Transportation","Trade / Manual Labor","*"
9240,"Railroad Conductors And Yardmasters","Transportation","Trade / Manual Labor","*"
9265,"Other Rail Transportation Workers","Transportation","Trade / Manual Labor","*"
9300,"Sailors And Marine Oilers, And Ship Engineers","Transportation","Trade / Manual Labor","*"
9310,"Ship And Boat Captains And Operators","Transportation","Trade / Manual Labor","*"
9350,"Parking Attendants","Transportation","Trade / Manual Labor","*"
9365,"Transportation Service Attendants","Transportation","Trade / Manual Labor","*"
9410,"Transportation Inspectors","Transportation","Trade / Manual Labor","*"
9415,"Passenger Attendants","Transportation","Trade / Manual Labor","*"
9430,"Other Transportation Workers","Transportation","Trade / Manual Labor","*"
9510,"Crane And Tower Operators","Transportation","Trade / Manual Labor","*"
9570,"Conveyor, Dredge, And Hoist and Winch Operators","Transportation","Trade / Manual Labor","*"
9600,"Industrial Truck And Tractor Operators","Transportation","Trade / Manual Labor","*"
9610,"Cleaners Of Vehicles And Equipment","Transportation","Trade / Manual Labor","*"
9620,"Material Movers","Transportation","Trade / Manual Labor","*"
9630,"Machine Feeders And Offbearers","Transportation","Trade / Manual Labor","*"
9640,"Packers And Packagers, Hand","Transportation","Trade / Manual Labor","*"
9645,"Stockers And Order Fillers","Transportation","Trade / Manual Labor","*"
9650,"Pumping Station Operators","Transportation","Trade / Manual Labor","*"
9720,"Refuse And Recyclable Material Collectors","Transportation","Trade / Manual Labor","*"
9760,"Other Material Moving Workers","Transportation","Trade / Manual Labor","*"
9800,"Military Officer Special And Tactical Operations Leaders","Military","Military","*"
9810,"First-Line Enlisted Military Supervisors","Military","Military","*"
9825,"Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","Military","Military","*"
9830,"Military, Rank Not Specified","Military","Military","*"
9920,"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","Unemployed / NA","Unemployed / NA","*"
