Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type,Linkage_Index
260330224501+0100,206,05,20605,32510894,49860726,44052902,206-05-****,206-05-****-**,3G,Smartphone,36
260405073332+0100,234,15,23415,55767925,69868402,55332312,234-15-****,234-15-****-**,5G,Tablet,709
260403120458+0100,206,20,20620,30282030,43738223,54117801,206-20-****,206-20-****-**,4G,Smartphone,2541
260402222639+0100,234,20,23420,56573218,52561710,53593955,234-20-****,234-20-****-**,4G,Smartphone,1921
260407071933+0100,206,10,20610,41451259,48559891,33478080,206-10-****,206-10-****-**,4G,Smartphone,2458
260404184328+0200,206,05,20605,34672406,37456069,36773063,206-05-****,206-05-****-**,5G,Smartphone,2864
260406190233-0500,310,120,310120,89925504,78016079,97057574,310-120-****,310-120-****-**,4G,Smartphone,2964
260406070257-0700,310,410,310410,75738333,91507768,92986664,310-410-****,310-410-****-**,4G,IoT Device,1518
260402180549+0200,240,04,24004,20164253,28364504,19682438,240-04-****,240-04-****-**,5G,IoT Device,2316
260402220132+0100,206,20,20620,53906358,50044225,51843302,206-20-****,206-20-****-**,5G,Smartphone,2478
260407152541-0600,310,260,310260,90250346,84478313,81139610,310-260-****,310-260-****-**,3G,Smartphone,719
260405063552-0700,310,410,310410,98427260,80080956,97018047,310-410-****,310-410-****-**,3G,Smartphone,759
260405231301+0100,206,05,20605,36360032,33891213,41066227,206-05-****,206-05-****-**,5G,Tablet,2129
260404080224+0000,234,20,23420,68216589,63102341,63501530,234-20-****,234-20-****-**,4G,IoT Device,1730
260408025448+0100,234,30,23430,53239167,64009686,70008906,234-30-****,234-30-****-**,5G,Tablet,1504
260401203111-0800,310,260,310260,82441256,83047227,93132147,310-260-****,310-260-****-**,5G,Smartphone,2451
260404183633+0000,234,20,23420,58453708,53179100,70128201,234-20-****,234-20-****-**,3G,Smartphone,200
260404055344+0100,206,10,20610,42737329,43396014,52290441,206-10-****,206-10-****-**,5G,Smartphone,1547
260407064430+0100,206,05,20605,36666708,53109497,41960618,206-05-****,206-05-****-**,5G,Smartphone,296
260408082825+0100,240,05,24005,25303727,10282970,14706765,240-05-****,240-05-****-**,4G,Smartphone,979
260402101213+0100,234,38,23438,55122326,74556236,59369565,234-38-****,234-38-****-**,4G,IoT Device,1540
260406132525+0200,206,20,20620,55082232,52376483,44784698,206-20-****,206-20-****-**,5G,Smartphone,2905
260402035352+0200,240,08,24008,33580108,16201270,14766045,240-08-****,240-08-****-**,5G,Smartphone,2238
260406141711+0100,234,33,23433,75189816,52131492,59706473,234-33-****,234-33-****-**,3G,Tablet,627
260406015634+0200,206,01,20601,52953163,50752751,39394765,206-01-****,206-01-****-**,5G,Smartphone,360
260403020149-0500,310,480,310480,81959819,77346687,78673978,310-480-****,310-480-****-**,4G,Smartphone,2677
260401221216+0100,240,02,24002,12816505,32359583,15763985,240-02-****,240-02-****-**,5G,Smartphone,2998
260407204357+0000,234,10,23410,51142259,63222992,77138821,234-10-****,234-10-****-**,3G,Smartphone,2847
260407214038+0100,234,38,23438,66064109,67964124,73944631,234-38-****,234-38-****-**,3G,Smartphone,690
260405103800-0500,310,120,310120,72883126,93401115,80532740,310-120-****,310-120-****-**,4G,IoT Device,814
260407162448+0100,206,10,20610,51081385,48831573,47602720,206-10-****,206-10-****-**,3G,Smartphone,1690
260402202133+0200,240,08,24008,22555004,29259741,15936728,240-08-****,240-08-****-**,5G,IoT Device,341
260406101014+0200,240,07,24007,21301699,30014361,19698250,240-07-****,240-07-****-**,5G,Tablet,893
260405044641+0100,206,05,20605,47772289,41366961,47707841,206-05-****,206-05-****-**,4G,Smartphone,1541
260407182104+0200,240,05,24005,29971477,33141307,26314683,240-05-****,240-05-****-**,5G,Smartphone,2047
260405152431+0000,234,15,23415,55904463,59521931,75833301,234-15-****,234-15-****-**,3G,IoT Device,1976
260403033620-0800,310,480,310480,86378377,74998427,85036264,310-480-****,310-480-****-**,3G,IoT Device,1784
260407002755-0500,310,480,310480,89971325,73920655,85688415,310-480-****,310-480-****-**,5G,Tablet,112
260405213359+0200,240,24,24024,10141794,32293911,21543972,240-24-****,240-24-****-**,5G,Smartphone,1789
260407184340-0600,310,480,310480,81022104,78747900,65009903,310-480-****,310-480-****-**,5G,Smartphone,1348
260403002955+0200,206,10,20610,59092308,51108991,37200718,206-10-****,206-10-****-**,3G,Smartphone,2494
260402124528+0100,234,33,23433,60444882,54785042,68463186,234-33-****,234-33-****-**,4G,Tablet,1400
260407180047+0200,240,05,24005,24926395,25694287,18640045,240-05-****,240-05-****-**,4G,Smartphone,2279
260404075244-0800,310,260,310260,99523623,70281850,67371273,310-260-****,310-260-****-**,4G,Smartphone,1056
260401173757+0200,240,16,24016,25626149,11027847,19117264,240-16-****,240-16-****-**,4G,Smartphone,2168
260403124657+0200,206,20,20620,59434890,43938463,30784482,206-20-****,206-20-****-**,3G,IoT Device,2766
260403190958+0100,206,05,20605,31140323,48290779,40351538,206-05-****,206-05-****-**,5G,IoT Device,1257
260406160624+0200,206,20,20620,49051330,46431802,40717134,206-20-****,206-20-****-**,5G,Tablet,827
260402094809+0100,240,05,24005,28781243,28945949,13124702,240-05-****,240-05-****-**,4G,Tablet,1228
260406044734+0200,206,01,20601,33395740,45169497,47007982,206-01-****,206-01-****-**,5G,IoT Device,2209
260404234745+0200,240,07,24007,33000769,29029401,11486027,240-07-****,240-07-****-**,4G,Tablet,1548
260405151012-0600,310,260,310260,75575194,82186123,81824353,310-260-****,310-260-****-**,4G,Smartphone,2410
260406173559+0100,240,07,24007,27326364,33943232,14365195,240-07-****,240-07-****-**,5G,Tablet,157
260405111759+0200,206,01,20601,33602206,43546035,54269639,206-01-****,206-01-****-**,3G,Tablet,1460
260402065328+0000,234,10,23410,64766966,74836624,51947395,234-10-****,234-10-****-**,3G,Smartphone,2978
260404004836-0500,310,260,310260,93920628,85609679,89935447,310-260-****,310-260-****-**,4G,Tablet,389
260404195317+0100,234,20,23420,54658465,55635490,53345798,234-20-****,234-20-****-**,3G,Smartphone,2022
260405142316+0200,206,01,20601,49799197,36741314,51799349,206-01-****,206-01-****-**,5G,Smartphone,2029
260327052652+0100,206,05,20605,54984402,41229210,33716405,206-05-****,206-05-****-**,5G,IoT Device,85
260402084947+0100,234,33,23433,56225650,61497037,63457853,234-33-****,234-33-****-**,3G,IoT Device,1269
260403085159-0500,310,410,310410,82263262,91596726,98895094,310-410-****,310-410-****-**,5G,IoT Device,1171
260407000244+0100,206,10,20610,30928291,36462774,47537034,206-10-****,206-10-****-**,4G,Smartphone,378
260403231827+0100,240,24,24024,34064529,14127763,11433327,240-24-****,240-24-****-**,5G,Smartphone,554
260406012531+0100,206,10,20610,37389945,31405650,26476845,206-10-****,206-10-****-**,4G,Smartphone,391
260406194830+0200,206,10,20610,56115265,49068479,30789692,206-10-****,206-10-****-**,3G,IoT Device,2223
260402100023+0100,206,10,20610,47426031,31408340,25374816,206-10-****,206-10-****-**,3G,Smartphone,2514
260405184404+0100,234,20,23420,73735571,66587192,63379253,234-20-****,234-20-****-**,5G,Tablet,2235
260408012914-0600,310,120,310120,76384050,89478784,70324287,310-120-****,310-120-****-**,5G,Smartphone,2164
260408085456+0000,234,30,23430,73995862,65471785,75049163,234-30-****,234-30-****-**,4G,IoT Device,640
260404210204+0200,240,04,24004,37177901,22904168,12755110,240-04-****,240-04-****-**,5G,Smartphone,1741
260404002037+0200,240,24,24024,11977461,26556352,18456517,240-24-****,240-24-****-**,5G,Smartphone,289
260408041203+0200,206,01,20601,55587045,30050331,49044375,206-01-****,206-01-****-**,4G,Smartphone,1425
260407090416+0100,206,20,20620,59769873,37912892,34724736,206-20-****,206-20-****-**,4G,IoT Device,967
260407200306-0700,310,260,310260,77811824,73026508,75112211,310-260-****,310-260-****-**,4G,IoT Device,90
260404191120-0500,310,410,310410,74128068,84225826,79407576,310-410-****,310-410-****-**,4G,IoT Device,937
260407232109+0200,206,20,20620,41862232,43649815,54994074,206-20-****,206-20-****-**,5G,IoT Device,2205
260403233632+0200,206,05,20605,41504280,48054360,30839216,206-05-****,206-05-****-**,4G,Tablet,1550
260404220104+0100,234,33,23433,76586358,70298015,55592359,234-33-****,234-33-****-**,3G,IoT Device,541
260406030418+0100,206,01,20601,31666304,46573683,41731950,206-01-****,206-01-****-**,3G,Smartphone,251
260406095530+0100,206,01,20601,54489791,38250762,43794491,206-01-****,206-01-****-**,3G,IoT Device,761
260405022934+0100,240,24,24024,24901042,11970344,18437177,240-24-****,240-24-****-**,4G,Smartphone,2949
260404054225+0100,206,20,20620,37776998,49003175,52081405,206-20-****,206-20-****-**,4G,Smartphone,2854
260405031504+0100,240,04,24004,32056019,23513702,20458863,240-04-****,240-04-****-**,4G,Smartphone,978
260404045819-0600,310,480,310480,86190107,94394261,95746373,310-480-****,310-480-****-**,3G,Smartphone,2487
260402182002+0000,234,33,23433,75378054,54985769,53243668,234-33-****,234-33-****-**,4G,Tablet,909
260406140848+0200,206,01,20601,35783802,36824065,28191449,206-01-****,206-01-****-**,5G,IoT Device,2620
260407224548+0100,234,30,23430,60718313,66054823,50079624,234-30-****,234-30-****-**,4G,Smartphone,2741
260404060652+0100,206,01,20601,48145130,34888736,35761283,206-01-****,206-01-****-**,5G,Tablet,370
260407052457+0000,234,33,23433,71170246,73728226,55563744,234-33-****,234-33-****-**,3G,IoT Device,2104
260403171807-0800,310,120,310120,85433139,81470342,80039389,310-120-****,310-120-****-**,4G,Smartphone,2602
260403001715+0000,234,38,23438,65998978,52615189,54452666,234-38-****,234-38-****-**,4G,IoT Device,29
260403100003+0100,234,33,23433,75789347,66650053,55644468,234-33-****,234-33-****-**,5G,IoT Device,604
260404090456+0100,240,05,24005,18788443,34267703,21332159,240-05-****,240-05-****-**,4G,IoT Device,2442
260402212850-0800,310,410,310410,77671963,74015416,99617454,310-410-****,310-410-****-**,4G,IoT Device,2215
260405023157+0200,240,02,24002,26947289,25199392,26579768,240-02-****,240-02-****-**,4G,Tablet,1871
260404164354+0100,206,05,20605,35570662,35627104,40863313,206-05-****,206-05-****-**,3G,IoT Device,2889
260403214540+0100,240,04,24004,12655842,15617382,24139449,240-04-****,240-04-****-**,5G,Tablet,846
260403214229+0200,240,24,24024,21777448,28433623,18998024,240-24-****,240-24-****-**,4G,Smartphone,1249
260402062735-0800,310,480,310480,71874540,74623844,72867561,310-480-****,310-480-****-**,4G,Smartphone,234
260404073744+0100,240,02,24002,11996706,13732094,24914546,240-02-****,240-02-****-**,5G,IoT Device,2284
260405031928+0000,234,33,23433,56641824,64375936,66334533,234-33-****,234-33-****-**,4G,IoT Device,774
260405205130+0100,234,10,23410,67678326,67283960,74267160,234-10-****,234-10-****-**,3G,Tablet,807
260407192013+0000,234,10,23410,63537533,59827465,66349012,234-10-****,234-10-****-**,3G,IoT Device,1132
260406084259-0700,310,480,310480,94712914,87598726,65573838,310-480-****,310-480-****-**,5G,IoT Device,1675
260403165937-0800,310,260,310260,82680294,92237248,78163966,310-260-****,310-260-****-**,4G,Tablet,2437
260405193301+0100,240,24,24024,38858279,24672576,10285813,240-24-****,240-24-****-**,5G,Smartphone,2356
260408095609+0100,240,16,24016,21335467,22660276,25945990,240-16-****,240-16-****-**,4G,Smartphone,176
260402025106-0500,310,120,310120,88508513,89493852,74527385,310-120-****,310-120-****-**,4G,Smartphone,1169
260405232223+0200,206,01,20601,33204294,44726034,46938705,206-01-****,206-01-****-**,4G,Smartphone,1940
260402030324-0500,310,480,310480,90391042,93775046,87052588,310-480-****,310-480-****-**,4G,Smartphone,1084
260315213930+0100,206,10,20610,56025879,37950590,32042342,206-10-****,206-10-****-**,5G,Smartphone,26
260407142701+0100,240,24,24024,25537613,30728206,26383503,240-24-****,240-24-****-**,4G,Smartphone,221
260403221629-0800,310,260,310260,83012509,75766704,82971683,310-260-****,310-260-****-**,3G,IoT Device,2467
260406103308-0500,310,260,310260,79368945,82801550,98323847,310-260-****,310-260-****-**,3G,Smartphone,549
260406111852-0600,310,480,310480,84564040,90772944,67034691,310-480-****,310-480-****-**,4G,Smartphone,2748
260401162509-0800,310,260,310260,97305406,86598967,71254984,310-260-****,310-260-****-**,3G,IoT Device,1210
260403011851-0600,310,410,310410,74361660,74244057,83884352,310-410-****,310-410-****-**,5G,IoT Device,456
260401153931+0000,234,10,23410,69248451,70645328,50598538,234-10-****,234-10-****-**,3G,Smartphone,1593
260402183455+0000,234,30,23430,57808842,73776236,59747161,234-30-****,234-30-****-**,3G,Smartphone,110
260407143213+0100,240,07,24007,38293195,18073529,13482523,240-07-****,240-07-****-**,4G,Smartphone,1594
260407142732+0200,240,07,24007,21736151,13695079,15419443,240-07-****,240-07-****-**,5G,Smartphone,519
260403035325-0500,310,260,310260,77484359,83026602,96022989,310-260-****,310-260-****-**,4G,Smartphone,240
260405222502-0500,310,480,310480,81573867,70017399,77168057,310-480-****,310-480-****-**,4G,IoT Device,1120
260402104030+0200,206,01,20601,51565339,30829886,42174666,206-01-****,206-01-****-**,4G,Tablet,707
260406165044+0100,240,08,24008,28836048,25662627,18516046,240-08-****,240-08-****-**,5G,Smartphone,1380
260407165055-0800,310,410,310410,91752907,73830263,85694351,310-410-****,310-410-****-**,5G,Smartphone,711
260403235811+0100,240,07,24007,17274005,14520015,23589360,240-07-****,240-07-****-**,4G,IoT Device,422
260403144838+0100,240,05,24005,28086752,34606670,24234421,240-05-****,240-05-****-**,4G,Smartphone,1567
260408090146+0200,206,05,20605,55217832,32798686,49103102,206-05-****,206-05-****-**,4G,Smartphone,1919
260406183716-0700,310,260,310260,82107386,92749025,71726500,310-260-****,310-260-****-**,3G,Smartphone,1648
260403223350+0100,240,01,24001,23286972,17711317,12542764,240-01-****,240-01-****-**,4G,IoT Device,2919
260407083507+0100,206,10,20610,50906362,46145509,47242640,206-10-****,206-10-****-**,4G,Smartphone,393
260404183639-0500,310,410,310410,93570055,94751203,69149771,310-410-****,310-410-****-**,4G,Smartphone,1800
260406060314+0000,234,33,23433,55100985,65528701,57096350,234-33-****,234-33-****-**,3G,Tablet,2731
260402014011-0700,310,480,310480,79503030,71561657,97407293,310-480-****,310-480-****-**,4G,IoT Device,2470
260403095126+0100,240,01,24001,13363350,10207068,15021971,240-01-****,240-01-****-**,5G,Smartphone,1440
260404142231+0100,206,01,20601,30722979,35351795,45936613,206-01-****,206-01-****-**,4G,Smartphone,2264
260403032357+0000,234,15,23415,76783332,67282584,52867977,234-15-****,234-15-****-**,3G,IoT Device,1387
260406114616+0100,240,16,24016,20994955,11924629,21124104,240-16-****,240-16-****-**,5G,Smartphone,2062
260401183346-0800,310,120,310120,83226143,82534536,72118231,310-120-****,310-120-****-**,4G,Smartphone,162
260405092147+0100,206,10,20610,30778519,47080926,32292761,206-10-****,206-10-****-**,5G,Smartphone,2548
260405114238+0100,234,33,23433,52114735,72713564,70793569,234-33-****,234-33-****-**,4G,Tablet,1571
260405105735+0200,240,24,24024,39359823,26132306,16369026,240-24-****,240-24-****-**,4G,Smartphone,1989
260403173915+0100,240,05,24005,30298575,15504372,24082341,240-05-****,240-05-****-**,5G,Smartphone,217
260405081221-0600,310,120,310120,73259735,77426390,80087735,310-120-****,310-120-****-**,4G,IoT Device,306
260331141535-0700,310,120,310120,86838389,84579102,73749329,310-120-****,310-120-****-**,4G,Tablet,99
260405132623+0000,234,38,23438,58001887,62631327,57804831,234-38-****,234-38-****-**,3G,Smartphone,2210
260403001530+0200,206,01,20601,57613452,37449323,26114114,206-01-****,206-01-****-**,3G,Smartphone,2881
260405073743+0200,206,05,20605,47574469,38861453,40282447,206-05-****,206-05-****-**,4G,Tablet,2812
260407225603+0000,234,30,23430,54015235,58896723,53844586,234-30-****,234-30-****-**,5G,IoT Device,1696
260401204942+0000,234,20,23420,72879781,56787951,61212734,234-20-****,234-20-****-**,4G,IoT Device,2493
260406234908+0100,234,33,23433,54083582,58442241,57620505,234-33-****,234-33-****-**,4G,Smartphone,2505
260320133835+0100,206,05,20605,31092621,46860270,36653083,206-05-****,206-05-****-**,4G,Tablet,83
260402124629+0000,234,30,23430,78535367,63579619,53252536,234-30-****,234-30-****-**,3G,IoT Device,621
260403135628+0000,234,15,23415,72688098,73045441,57908858,234-15-****,234-15-****-**,3G,Smartphone,1808
260408050939+0100,206,20,20620,33992720,53136963,36281409,206-20-****,206-20-****-**,4G,Smartphone,2180
260405060047+0200,206,05,20605,36338394,37648839,50539800,206-05-****,206-05-****-**,5G,IoT Device,635
260405144857+0000,234,20,23420,70572117,69203062,62780549,234-20-****,234-20-****-**,5G,Tablet,920
260405080501-0500,310,480,310480,70871205,85851302,92746260,310-480-****,310-480-****-**,5G,Smartphone,2213
260406020148+0100,234,38,23438,57717063,68879321,66700317,234-38-****,234-38-****-**,3G,Smartphone,1753
260401210058+0200,240,08,24008,20374274,14499610,13653040,240-08-****,240-08-****-**,5G,IoT Device,2275
260407103743-0600,310,120,310120,79971653,78988012,73247788,310-120-****,310-120-****-**,4G,Smartphone,2447
260405173304+0100,234,20,23420,66118978,65593391,72021162,234-20-****,234-20-****-**,4G,IoT Device,977
260401225314+0100,240,07,24007,30612768,10541725,27176538,240-07-****,240-07-****-**,4G,Smartphone,608
260403001153-0500,310,480,310480,99301995,87722222,89336239,310-480-****,310-480-****-**,5G,Smartphone,1520
260401181922+0100,240,02,24002,24721127,21425713,19055819,240-02-****,240-02-****-**,5G,Smartphone,2524
260407124150+0100,206,05,20605,53794831,46232812,32490410,206-05-****,206-05-****-**,5G,Smartphone,2241
260403101802+0100,240,04,24004,19389400,11349185,29902676,240-04-****,240-04-****-**,3G,IoT Device,2752
260404111120+0100,234,38,23438,68490619,55540523,77523169,234-38-****,234-38-****-**,4G,Tablet,2249
260402171743-0700,310,120,310120,97513695,78863623,74033837,310-120-****,310-120-****-**,3G,Smartphone,1307
260406183105+0100,234,10,23410,77152631,66316634,70700428,234-10-****,234-10-****-**,3G,IoT Device,2990
260403191636+0100,234,10,23410,51828871,64980545,59883760,234-10-****,234-10-****-**,3G,IoT Device,1573
260408084617+0000,234,30,23430,51959940,52984982,66289831,234-30-****,234-30-****-**,4G,Smartphone,486
260403084845+0100,206,20,20620,36962155,46528223,43111788,206-20-****,206-20-****-**,4G,Smartphone,1339
260406234754+0100,234,38,23438,65650111,60625712,66240923,234-38-****,234-38-****-**,3G,Smartphone,2866
260407083420+0100,240,01,24001,30843412,13610329,13911482,240-01-****,240-01-****-**,5G,Tablet,2103
260401155527+0100,240,08,24008,31003353,21220067,16119736,240-08-****,240-08-****-**,4G,Smartphone,1811
260402094508+0100,206,20,20620,56786798,51202047,33084171,206-20-****,206-20-****-**,5G,Smartphone,2622
260404034238-0800,310,480,310480,98220439,77795533,83093051,310-480-****,310-480-****-**,5G,Tablet,1915
260404174008+0100,206,01,20601,32439434,49707136,52954567,206-01-****,206-01-****-**,5G,Smartphone,2646
260401162043-0700,310,480,310480,91508576,92826520,82563784,310-480-****,310-480-****-**,5G,IoT Device,1502
260406093139-0800,310,120,310120,86719011,91482212,79949976,310-120-****,310-120-****-**,5G,IoT Device,645
260404172929-0700,310,260,310260,89782611,88729749,93856702,310-260-****,310-260-****-**,4G,IoT Device,598
260406041338-0500,310,410,310410,99553365,93694241,79479474,310-410-****,310-410-****-**,3G,Smartphone,2897
260403010550-0700,310,260,310260,96724265,74533050,85400257,310-260-****,310-260-****-**,4G,IoT Device,2647
260406013554+0100,234,33,23433,56523097,71184073,69652374,234-33-****,234-33-****-**,3G,IoT Device,188
260402153112-0500,310,480,310480,95861250,89407829,72780318,310-480-****,310-480-****-**,4G,IoT Device,900
260403101114+0200,206,10,20610,56803157,49461878,53297210,206-10-****,206-10-****-**,5G,Smartphone,1668
260402054146+0100,240,16,24016,32352845,23858122,15711938,240-16-****,240-16-****-**,4G,Smartphone,2312
260406040535+0200,240,16,24016,17922530,34360703,14752919,240-16-****,240-16-****-**,4G,Smartphone,2819
260404004031+0200,206,20,20620,35312962,41597476,34719011,206-20-****,206-20-****-**,5G,Smartphone,1126
260401174937+0200,206,05,20605,56734365,51140214,38160385,206-05-****,206-05-****-**,4G,Smartphone,284
260401185650+0100,240,02,24002,20739287,15651712,29261299,240-02-****,240-02-****-**,4G,Smartphone,2230
260403090022+0100,240,07,24007,11146979,13121569,20939701,240-07-****,240-07-****-**,5G,Smartphone,790
260402182544-0600,310,410,310410,84085923,82901155,87270527,310-410-****,310-410-****-**,4G,Smartphone,2476
260406182626+0200,240,07,24007,24582900,23732539,21985086,240-07-****,240-07-****-**,5G,Smartphone,2425
260408130806-0700,310,480,310480,95202177,85775478,93665071,310-480-****,310-480-****-**,5G,IoT Device,2918
260407145535+0200,206,20,20620,54637708,31430768,48501962,206-20-****,206-20-****-**,4G,Smartphone,2393
260403160608-0500,310,410,310410,88263621,92548061,82868356,310-410-****,310-410-****-**,3G,Tablet,1202
260405222440-0500,310,120,310120,96420673,74229402,72840271,310-120-****,310-120-****-**,5G,Smartphone,544
260402040124+0200,206,05,20605,47567347,48917209,54164467,206-05-****,206-05-****-**,5G,IoT Device,1821
260401153916-0600,310,120,310120,93333319,85086118,89272279,310-120-****,310-120-****-**,4G,Smartphone,1347
260405035253+0000,234,38,23438,64064376,71491105,68021295,234-38-****,234-38-****-**,3G,Smartphone,2596
260403165843+0100,234,10,23410,54404086,50256885,76559865,234-10-****,234-10-****-**,3G,Tablet,679
260408023335+0100,240,24,24024,14292039,24490152,12077150,240-24-****,240-24-****-**,4G,Smartphone,2054
260406101154+0100,240,16,24016,23593488,16180331,14152924,240-16-****,240-16-****-**,5G,IoT Device,1867
260402171134+0100,240,04,24004,14980142,29204804,17744336,240-04-****,240-04-****-**,4G,Smartphone,1846
260406095031-0600,310,120,310120,77038480,76414231,65964422,310-120-****,310-120-****-**,4G,IoT Device,243
260406141144+0100,240,05,24005,34359595,25890065,27485348,240-05-****,240-05-****-**,5G,Smartphone,1259
260407085110+0200,206,20,20620,38839730,50577591,43509365,206-20-****,206-20-****-**,3G,Tablet,1485
260406195157+0200,240,02,24002,12799358,10191003,13278490,240-02-****,240-02-****-**,4G,Tablet,1184
260408010839+0100,240,04,24004,29386321,34641069,21578819,240-04-****,240-04-****-**,4G,Tablet,122
260404064322-0700,310,480,310480,93215929,75030772,74567812,310-480-****,310-480-****-**,3G,Smartphone,2810
260324191820+0100,234,20,23420,58806436,70740067,55210143,234-20-****,234-20-****-**,4G,Smartphone,87
260402230348+0100,206,05,20605,48607625,53645762,30853090,206-05-****,206-05-****-**,4G,Smartphone,2421
260406015222+0100,234,15,23415,72039245,70367101,66315957,234-15-****,234-15-****-**,5G,IoT Device,2526
260408053745+0200,206,01,20601,42702056,51332529,42341491,206-01-****,206-01-****-**,5G,Tablet,689
260404002142+0100,234,20,23420,78471900,66805767,59391972,234-20-****,234-20-****-**,3G,Smartphone,1672
260408120021+0200,206,10,20610,33195411,43203934,42916967,206-10-****,206-10-****-**,3G,IoT Device,771
260408060109-0600,310,120,310120,75490424,84145304,91389552,310-120-****,310-120-****-**,5G,Tablet,1474
260407033356+0100,240,08,24008,36988184,16039816,25532722,240-08-****,240-08-****-**,5G,Smartphone,931
260406003933+0000,234,20,23420,75802432,73789998,62337654,234-20-****,234-20-****-**,3G,Tablet,1281
260408102116+0200,206,05,20605,50320715,49026808,45547459,206-05-****,206-05-****-**,4G,IoT Device,104
260406055537+0200,240,05,24005,18174191,16254042,12033621,240-05-****,240-05-****-**,5G,Smartphone,2145
260405075445+0200,206,05,20605,35571090,40125264,51130674,206-05-****,206-05-****-**,5G,Smartphone,1793
260405143751+0100,206,20,20620,56708744,37457599,50822777,206-20-****,206-20-****-**,4G,Tablet,2271
260404084506+0100,206,10,20610,43201983,40353803,46387168,206-10-****,206-10-****-**,4G,Smartphone,1215
260405030121+0200,206,20,20620,59452942,50717306,39906393,206-20-****,206-20-****-**,5G,Smartphone,1188
260406010412+0100,234,10,23410,72219721,68863012,70052314,234-10-****,234-10-****-**,3G,Tablet,2320
260402231346+0200,206,01,20601,31758763,47660481,52539981,206-01-****,206-01-****-**,4G,Smartphone,706
260402100102-0500,310,260,310260,74358580,88600081,87349309,310-260-****,310-260-****-**,4G,Smartphone,840
260407015847+0200,206,10,20610,47300253,46244129,31983917,206-10-****,206-10-****-**,4G,Smartphone,2480
260404120545+0100,240,16,24016,36911935,32707470,26134529,240-16-****,240-16-****-**,5G,Smartphone,480
260402041903-0700,310,480,310480,87478718,84308737,98971056,310-480-****,310-480-****-**,5G,Smartphone,1271
260402065455+0000,234,15,23415,63595668,71107639,65873572,234-15-****,234-15-****-**,3G,Tablet,948
260402134429-0800,310,480,310480,99113500,75884442,83768149,310-480-****,310-480-****-**,5G,Smartphone,1469
260404082822-0500,310,120,310120,84438709,86949752,81126873,310-120-****,310-120-****-**,4G,Tablet,1825
260406025105+0100,206,20,20620,54783407,32525173,51779601,206-20-****,206-20-****-**,3G,IoT Device,1235
260405233455+0100,240,08,24008,19759814,10840822,26396558,240-08-****,240-08-****-**,4G,Smartphone,2673
260403174821-0500,310,410,310410,73269652,80624868,89925596,310-410-****,310-410-****-**,5G,IoT Device,2121
260407201827+0100,240,24,24024,28372453,34666209,27074351,240-24-****,240-24-****-**,5G,Smartphone,1293
260406031631+0200,240,02,24002,17527310,10835187,26119010,240-02-****,240-02-****-**,5G,Smartphone,845
260405093209+0200,240,04,24004,25184740,13632481,26391750,240-04-****,240-04-****-**,5G,Smartphone,1908
260402002025+0100,234,38,23438,56808805,64090964,66779740,234-38-****,234-38-****-**,4G,Tablet,1957
260403024440+0200,206,01,20601,58477837,37420497,36295992,206-01-****,206-01-****-**,5G,Smartphone,1663
260408080148+0100,240,08,24008,14281820,27890462,29135202,240-08-****,240-08-****-**,4G,Smartphone,1844
260408111755+0200,206,20,20620,36324638,36258897,49213400,206-20-****,206-20-****-**,4G,Tablet,924
260406094625+0000,234,10,23410,74364798,55345958,76789208,234-10-****,234-10-****-**,4G,Tablet,1190
260403221056+0200,240,04,24004,14528140,15603632,11622171,240-04-****,240-04-****-**,4G,Tablet,387
260404202723+0100,240,08,24008,26993473,17577179,19212160,240-08-****,240-08-****-**,5G,Smartphone,1688
260407003044-0600,310,260,310260,95798911,80241755,89773430,310-260-****,310-260-****-**,4G,Smartphone,1499
260406183513+0200,240,08,24008,14724743,31267091,20700655,240-08-****,240-08-****-**,5G,Smartphone,2226
260402190613-0500,310,410,310410,83756995,85238149,84316416,310-410-****,310-410-****-**,4G,IoT Device,680
260406044627-0600,310,120,310120,89779656,88617238,74662235,310-120-****,310-120-****-**,3G,IoT Device,651
260404110142+0100,234,30,23430,75042211,68440663,59029053,234-30-****,234-30-****-**,3G,Smartphone,1175
260402073306+0200,240,04,24004,20817101,10726924,21251729,240-04-****,240-04-****-**,5G,Smartphone,1965
260404135428+0200,206,20,20620,31900058,30573466,54038670,206-20-****,206-20-****-**,4G,Tablet,2706
260404151858+0100,234,38,23438,50523194,65228953,51374157,234-38-****,234-38-****-**,5G,Smartphone,260
260404153720-0500,310,120,310120,94356368,79168303,78991333,310-120-****,310-120-****-**,5G,IoT Device,1752
260407154814+0100,206,05,20605,43990617,43359869,27438449,206-05-****,206-05-****-**,4G,Tablet,617
260404220228+0100,240,07,24007,27989985,24255395,24356721,240-07-****,240-07-****-**,4G,Smartphone,1721
260403231908-0800,310,480,310480,99707843,72172027,94317715,310-480-****,310-480-****-**,5G,Smartphone,969
260407161331+0100,234,38,23438,57336046,57938850,70674499,234-38-****,234-38-****-**,3G,Smartphone,1207
260406051423+0100,206,05,20605,46141342,42488387,43295520,206-05-****,206-05-****-**,5G,Smartphone,1929
260401144130-0700,310,120,310120,82401169,91421772,88500485,310-120-****,310-120-****-**,3G,Tablet,2898
