Device_ID,Device_Type,Network_Type,PLMN,LAI,Avg_Latency_ms,Connection_Drop_Rate_Pct,Linkage_Index
D1441,Smartphone,3G,24016,240-16-4788,104,1.75,532
D1442,Smartphone,3G,20620,206-20-8692,131,3.44,295
D1443,Tablet,4G,20601,206-01-8800,45,0.74,1503
D1444,IoT Device,3G,23420,234-20-7730,88,1.65,2520
D1445,Tablet,4G,20605,206-05-5871,68,0.81,2832
D1446,Tablet,4G,310120,310-120-5469,38,1.31,2075
D1447,IoT Device,3G,23420,234-20-2204,105,2.82,2427
D1448,Smartphone,4G,310120,310-120-8740,56,0.58,2292
D1449,Smartphone,4G,310480,310-480-1829,62,0.47,1698
D1450,Smartphone,5G,310480,310-480-5496,10,0.15,647
D1451,Tablet,4G,20610,206-10-8451,49,1.27,2669
D1452,Smartphone,5G,20610,206-10-1224,28,0.5,1361
D1453,IoT Device,5G,20620,206-20-7730,25,0.43,1624
D1454,Smartphone,4G,24024,240-24-7149,58,0.85,659
D1455,Smartphone,5G,24007,240-07-5533,21,0.17,1603
D1456,IoT Device,3G,24004,240-04-7537,139,1.63,565
D1457,Smartphone,5G,310480,310-480-7653,20,0.44,832
D1458,IoT Device,5G,310480,310-480-5012,17,0.29,107
D1459,IoT Device,5G,20620,206-20-3950,17,0.43,358
D1460,Smartphone,5G,24007,240-07-7939,23,0.03,1863
D1461,Smartphone,4G,20620,206-20-1715,60,1.09,287
D1462,IoT Device,4G,23420,234-20-3955,54,0.64,1483
D1463,Tablet,4G,24004,240-04-8744,39,0.79,405
D1464,Smartphone,4G,310260,310-260-8840,32,0.28,449
D1465,IoT Device,4G,310260,310-260-6776,67,0.56,1622
D1466,IoT Device,4G,24002,240-02-3621,36,1.32,2488
D1467,Smartphone,4G,310120,310-120-8361,58,0.24,2299
D1468,Smartphone,4G,24001,240-01-2654,59,0.12,2637
D1469,IoT Device,5G,20610,206-10-7561,14,0.21,1230
D1470,Smartphone,4G,24004,240-04-2104,39,0.2,1284
D1471,Smartphone,4G,24024,240-24-2341,46,0.57,2380
D1472,Smartphone,5G,310260,310-260-1266,22,0.33,1337
D1473,IoT Device,4G,310120,310-120-2821,51,1.29,440
D1474,Tablet,4G,23410,234-10-5210,64,0.63,168
D1475,Smartphone,5G,20610,206-10-8451,20,0.32,1377
D1476,Smartphone,4G,23415,234-15-5542,61,1.32,2628
D1477,Smartphone,5G,20601,206-01-8342,11,0.31,1243
D1478,Smartphone,5G,24001,240-01-8034,17,0.32,34
D1479,Tablet,3G,24008,240-08-6279,106,3.49,222
D1480,Tablet,3G,23420,234-20-4485,81,1.8,2721
D1481,Tablet,5G,23420,234-20-3955,13,0.38,1644
D1482,Smartphone,5G,310260,310-260-4950,13,0.23,2031
D1483,Smartphone,4G,24004,240-04-9479,49,1.36,1798
D1484,Smartphone,5G,20601,206-01-8381,11,0.17,1468
D1485,Smartphone,5G,24001,240-01-5554,11,0.15,1245
D1486,IoT Device,3G,23430,234-30-1502,117,1.79,184
D1487,Tablet,3G,23420,234-20-8048,101,2.09,764
D1488,Tablet,4G,20620,206-20-1715,66,1.05,1261
D1489,Smartphone,3G,24008,240-08-3851,93,1.01,656
D1490,Smartphone,3G,310410,310-410-2128,80,2.33,94
D1491,Smartphone,4G,24001,240-01-7224,54,0.97,1684
D1492,Smartphone,5G,24007,240-07-2771,17,0.25,397
D1493,Tablet,3G,310260,310-260-5843,144,0.93,455
D1494,Tablet,4G,310260,310-260-3730,59,0.99,2456
D1495,Smartphone,4G,24024,240-24-4978,59,0.46,1569
D1496,Smartphone,4G,23420,234-20-2323,30,1.36,2916
D1497,Smartphone,4G,310480,310-480-8609,59,1.36,2714
D1498,Smartphone,4G,24004,240-04-6107,64,0.32,2308
D1499,Smartphone,5G,20601,206-01-4937,24,0.47,2890
D1500,IoT Device,5G,24001,240-01-1409,28,0.16,2525
D1501,Smartphone,3G,310410,310-410-2929,124,2.57,1769
D1502,Tablet,4G,20610,206-10-5722,59,1.28,1404
D1503,Smartphone,4G,24004,240-04-6107,42,1.5,956
D1504,Tablet,4G,20610,206-10-7561,60,0.25,908
D1505,IoT Device,4G,24005,240-05-2312,54,0.9,1141
D1506,Tablet,4G,24016,240-16-7991,66,0.51,953
D1507,Smartphone,4G,310410,310-410-2438,48,0.13,495
D1508,IoT Device,3G,23430,234-30-6129,120,1.32,2688
D1509,Smartphone,4G,310120,310-120-8740,66,1.31,958
D1510,Tablet,4G,20620,206-20-5712,33,1.37,1612
D1511,Smartphone,5G,20601,206-01-6169,25,0.42,1000
D1512,IoT Device,4G,24002,240-02-2133,48,1.19,2859
D1513,Tablet,3G,20605,206-05-5871,99,2.32,874
D1514,Tablet,4G,20620,206-20-8237,52,0.41,567
D1515,Tablet,4G,24005,240-05-5325,42,0.97,2471
D1516,IoT Device,3G,23433,234-33-6626,87,2.38,2156
D1517,IoT Device,5G,23410,234-10-7464,30,0.33,4
D1518,Smartphone,3G,310120,310-120-3414,109,2.87,2937
D1519,Smartphone,3G,20610,206-10-7807,74,2.24,1278
D1520,Smartphone,4G,24008,240-08-7291,38,0.23,2813
D1521,IoT Device,3G,23420,234-20-3430,107,1.48,1135
D1522,Smartphone,3G,310120,310-120-5037,123,1.03,18
D1523,Smartphone,5G,20620,206-20-2293,14,0.4,1653
D1524,Smartphone,5G,20601,206-01-4986,21,0.27,1628
D1525,Smartphone,4G,23438,234-38-6072,47,1.26,787
D1526,Smartphone,5G,20610,206-10-9117,18,0.46,2875
D1527,IoT Device,5G,24005,240-05-2188,25,0.48,1493
D1528,Smartphone,5G,24004,240-04-7537,19,0.38,1308
D1529,Smartphone,5G,310480,310-480-5382,20,0.4,1270
D1530,Smartphone,5G,24008,240-08-7691,24,0.48,2650
D1531,IoT Device,4G,23433,234-33-5500,39,1.16,2094
D1532,IoT Device,3G,310410,310-410-8179,98,3.08,1314
D1533,Tablet,3G,23438,234-38-6962,120,3.4,1038
D1534,Tablet,3G,23430,234-30-2140,141,1.6,696
D1535,IoT Device,5G,310410,310-410-5757,22,0.02,928
D1536,Smartphone,3G,310480,310-480-8632,138,0.87,1260
D1537,IoT Device,5G,310260,310-260-1266,21,0.34,2297
D1538,Smartphone,3G,20610,206-10-8736,103,2.25,2033
D1539,Smartphone,4G,20601,206-01-9004,70,1.42,2390
D1540,Smartphone,4G,23420,234-20-6120,36,1.04,415
D1541,Tablet,4G,23410,234-10-5837,60,0.14,1395
D1542,Smartphone,5G,310260,310-260-2033,27,0.17,2519
D1543,IoT Device,5G,24001,240-01-7912,29,0.12,2079
D1544,Smartphone,5G,20605,206-05-2330,12,0.32,2409
D1545,Tablet,5G,20605,206-05-7744,24,0.46,970
D1546,Tablet,5G,20601,206-01-9698,19,0.33,537
D1547,Tablet,3G,23410,234-10-8606,84,0.92,599
D1548,Smartphone,5G,24016,240-16-9270,11,0.16,1154
D1549,Tablet,5G,20620,206-20-3068,25,0.07,1619
D1550,Tablet,4G,23410,234-10-9791,45,1.34,2128
D1551,Smartphone,3G,310480,310-480-5105,87,1.67,2703
D1552,Smartphone,4G,24024,240-24-9548,53,1.04,337
D1553,Smartphone,5G,24024,240-24-1853,27,0.22,419
D1554,Smartphone,4G,310480,310-480-9437,39,1.34,173
D1555,Smartphone,4G,24004,240-04-8177,36,1.27,1691
D1556,Tablet,5G,20610,206-10-9167,29,0.21,583
D1557,Smartphone,3G,310480,310-480-9476,105,0.6,1530
D1558,Smartphone,5G,310260,310-260-7029,21,0.12,2460
D1559,Smartphone,3G,24008,240-08-5082,126,3.35,1781
D1560,IoT Device,5G,23415,234-15-6931,21,0.06,423
D1561,IoT Device,4G,310480,310-480-5336,53,0.86,2245
D1562,Tablet,5G,20620,206-20-3361,30,0.19,2955
D1563,Smartphone,5G,24024,240-24-8921,22,0.15,1396
D1564,Smartphone,5G,24024,240-24-6325,13,0.48,1838
D1565,Tablet,4G,24008,240-08-9308,59,0.23,1763
D1566,Smartphone,4G,310410,310-410-1570,43,1.0,2218
D1567,Smartphone,5G,24001,240-01-4814,29,0.49,159
D1568,Smartphone,5G,20620,206-20-7325,11,0.4,796
D1569,Smartphone,4G,310410,310-410-2077,45,1.48,1445
D1570,IoT Device,3G,23433,234-33-9312,142,1.12,191
D1571,Tablet,5G,20601,206-01-9004,27,0.11,2558
D1572,Smartphone,5G,20620,206-20-7751,16,0.41,2985
D1573,Smartphone,3G,23438,234-38-9239,99,1.49,950
D1574,Smartphone,4G,24007,240-07-9785,39,1.2,1231
D1575,Smartphone,4G,24024,240-24-5558,68,0.1,1046
D1576,Smartphone,4G,20605,206-05-5632,39,1.48,1657
D1577,IoT Device,3G,23433,234-33-6456,139,1.25,1292
D1578,IoT Device,4G,20605,206-05-8078,41,0.25,2971
D1579,Smartphone,4G,24008,240-08-8144,31,0.28,416
D1580,Tablet,5G,24001,240-01-1409,21,0.4,1368
D1581,Tablet,4G,23430,234-30-2140,45,0.92,802
D1582,Smartphone,3G,20620,206-20-6544,72,1.02,93
D1583,Smartphone,4G,23438,234-38-5634,33,0.28,1647
D1584,Smartphone,3G,20601,206-01-4937,123,2.08,2323
D1585,Smartphone,5G,310410,310-410-3621,12,0.24,270
D1586,Smartphone,5G,24016,240-16-7768,21,0.26,54
D1587,Smartphone,4G,24016,240-16-7371,36,0.73,676
D1588,Smartphone,4G,24008,240-08-8975,44,1.42,68
D1589,Tablet,3G,23410,234-10-8222,75,2.68,1059
D1590,Smartphone,4G,24005,240-05-5915,63,0.52,2394
D1591,Smartphone,4G,20601,206-01-2680,31,0.19,206
D1592,Smartphone,4G,24002,240-02-4456,60,1.29,1023
D1593,Smartphone,5G,24007,240-07-1685,23,0.35,2244
D1594,Smartphone,4G,310410,310-410-3621,61,1.1,918
D1595,Smartphone,4G,20605,206-05-7690,58,0.2,2295
D1596,Smartphone,5G,20605,206-05-2880,12,0.17,324
D1597,Smartphone,3G,23430,234-30-7475,88,0.7,1697
D1598,IoT Device,4G,310120,310-120-4963,47,0.97,128
D1599,IoT Device,5G,24001,240-01-1106,28,0.28,529
D1600,Smartphone,3G,20610,206-10-8736,111,1.64,1079
D1601,Tablet,5G,24007,240-07-8149,29,0.27,1486
D1602,Smartphone,5G,24016,240-16-2375,24,0.26,2733
D1603,Smartphone,5G,24001,240-01-2824,23,0.06,2038
D1604,Smartphone,3G,23433,234-33-8155,84,3.06,1471
D1605,Smartphone,4G,23420,234-20-2768,65,1.11,596
D1606,IoT Device,4G,310480,310-480-6573,43,0.7,2522
D1607,Smartphone,4G,20610,206-10-8905,44,0.68,2477
D1608,Tablet,3G,20610,206-10-7561,128,1.7,2486
D1609,Tablet,4G,310120,310-120-9618,36,0.54,940
D1610,Smartphone,4G,24001,240-01-1750,50,1.03,1286
D1611,Tablet,4G,20605,206-05-5460,53,1.44,2992
D1612,Tablet,5G,24016,240-16-7991,25,0.04,325
D1613,Smartphone,3G,20620,206-20-4826,80,0.78,1810
D1614,Tablet,3G,23433,234-33-8172,82,2.73,865
D1615,Smartphone,4G,24016,240-16-6529,53,1.24,2374
D1616,Smartphone,4G,20601,206-01-9004,65,0.18,1715
D1617,Smartphone,5G,24005,240-05-7930,27,0.29,373
D1618,IoT Device,3G,20620,206-20-4826,85,1.73,2336
D1619,Smartphone,4G,24005,240-05-1936,57,1.32,1098
D1620,IoT Device,4G,310260,310-260-8498,33,1.46,1018
D1621,Smartphone,5G,24005,240-05-9565,29,0.16,821
D1622,Smartphone,4G,20610,206-10-9824,36,0.91,1775
D1623,IoT Device,3G,310480,310-480-6644,97,0.96,1609
D1624,Smartphone,4G,20601,206-01-6023,60,0.41,2389
D1625,Smartphone,4G,23433,234-33-6179,36,0.59,411
D1626,Smartphone,3G,24008,240-08-2389,141,1.6,653
D1627,Smartphone,5G,24002,240-02-4483,18,0.29,372
D1628,Smartphone,4G,23433,234-33-8565,57,1.28,1381
D1629,IoT Device,5G,24004,240-04-3167,29,0.31,2462
D1630,Smartphone,4G,310260,310-260-8840,65,0.14,921
D1631,Smartphone,3G,23410,234-10-7484,104,0.59,2860
D1632,Smartphone,4G,20605,206-05-5871,47,1.08,1654
D1633,Tablet,4G,24016,240-16-4841,49,1.39,1130
D1634,IoT Device,5G,23420,234-20-2697,21,0.01,2829
D1635,Tablet,5G,24001,240-01-2824,14,0.29,1300
D1636,IoT Device,4G,23410,234-10-2911,55,0.2,1379
D1637,Smartphone,4G,310260,310-260-5476,70,1.46,556
D1638,Smartphone,3G,24005,240-05-3536,81,2.74,1777
D1639,Smartphone,4G,23438,234-38-3463,43,0.63,1226
D1640,IoT Device,5G,310410,310-410-1510,24,0.18,1156
D1641,IoT Device,5G,310480,310-480-3102,21,0.16,2987
D1642,Smartphone,5G,24008,240-08-6279,20,0.39,1422
D1643,Smartphone,4G,23438,234-38-6482,66,0.93,1937
D1644,Tablet,4G,20610,206-10-6296,33,0.32,154
D1645,Smartphone,4G,310260,310-260-6850,69,0.17,2824
D1646,Tablet,4G,24008,240-08-3041,35,0.48,2612
D1647,Tablet,4G,310410,310-410-7044,57,0.78,1820
D1648,Smartphone,4G,24001,240-01-6977,58,0.68,272
D1649,Tablet,4G,20610,206-10-3594,43,1.16,2858
D1650,Smartphone,5G,20610,206-10-3522,13,0.18,160
D1651,Tablet,4G,310410,310-410-3339,37,0.5,1328
D1652,Smartphone,5G,24024,240-24-5022,28,0.25,2247
D1653,Smartphone,3G,23438,234-38-7347,109,0.64,2127
D1654,Smartphone,4G,20620,206-20-2646,55,1.48,2407
D1655,Tablet,4G,20601,206-01-3939,33,0.11,1279
D1656,Tablet,3G,23415,234-15-7078,108,3.34,2397
D1657,Smartphone,5G,23438,234-38-3222,14,0.38,50
D1658,IoT Device,3G,20605,206-05-8253,107,1.48,2173
D1659,Smartphone,3G,23420,234-20-2398,70,1.99,1543
D1660,Smartphone,5G,23438,234-38-6731,23,0.1,1694
D1661,Tablet,4G,24016,240-16-9270,54,0.85,2306
D1662,IoT Device,4G,20605,206-05-2496,44,0.8,1218
D1663,IoT Device,5G,310260,310-260-2680,21,0.05,2183
D1664,Smartphone,4G,23433,234-33-2288,32,0.71,1062
D1665,IoT Device,4G,20601,206-01-1893,59,1.39,330
D1666,Smartphone,3G,23420,234-20-8430,110,2.23,1454
D1667,IoT Device,4G,310120,310-120-3449,66,0.67,1554
D1668,Tablet,3G,23438,234-38-6962,123,1.37,2638
D1669,IoT Device,3G,23420,234-20-9282,121,0.56,2710
D1670,Smartphone,5G,20605,206-05-9847,20,0.09,2350
D1671,IoT Device,4G,310260,310-260-9151,69,0.74,585
D1672,Smartphone,4G,20620,206-20-3385,53,0.22,2498
D1673,Tablet,4G,24008,240-08-1727,36,0.44,1026
D1674,IoT Device,5G,310120,310-120-4862,28,0.21,1482
D1675,Smartphone,3G,23410,234-10-5837,80,1.69,2982
D1676,Smartphone,5G,24008,240-08-8144,19,0.38,2726
D1677,Tablet,3G,310410,310-410-3053,98,1.5,2581
D1678,IoT Device,4G,23438,234-38-6962,40,0.21,453
D1679,Smartphone,3G,23438,234-38-7108,84,2.09,403
D1680,Smartphone,3G,20610,206-10-8905,94,3.22,1344
D1681,Tablet,3G,23415,234-15-4475,114,1.55,1045
D1682,Smartphone,4G,20620,206-20-2612,39,0.43,214
D1683,Tablet,5G,24024,240-24-5133,14,0.14,2274
D1684,Smartphone,4G,24005,240-05-8973,41,0.94,257
D1685,Smartphone,5G,24005,240-05-7868,30,0.05,1066
D1686,IoT Device,4G,310120,310-120-2623,70,0.79,1879
D1687,Tablet,5G,20601,206-01-8342,28,0.38,1945
D1688,Smartphone,5G,24005,240-05-4111,24,0.34,523
D1689,Tablet,5G,20610,206-10-3522,28,0.33,1858
D1690,IoT Device,3G,23433,234-33-4232,149,1.47,2862
D1691,IoT Device,4G,310260,310-260-9945,70,0.54,1415
D1692,IoT Device,5G,24004,240-04-2235,24,0.04,2373
D1693,IoT Device,3G,23438,234-38-2079,126,2.39,1321
D1694,Tablet,3G,23438,234-38-3253,105,2.27,201
D1695,Smartphone,4G,310120,310-120-5469,52,0.81,175
D1696,Smartphone,5G,24001,240-01-9785,19,0.24,1891
D1697,IoT Device,5G,310260,310-260-4950,11,0.04,1665
D1698,IoT Device,5G,23430,234-30-9149,19,0.05,2817
D1699,IoT Device,5G,310480,310-480-7293,12,0.31,2845
D1700,Smartphone,5G,24024,240-24-2669,26,0.2,731
D1701,IoT Device,3G,23410,234-10-6549,144,2.16,102
D1702,Tablet,4G,20601,206-01-9042,32,0.73,785
D1703,IoT Device,4G,23433,234-33-6083,66,1.01,117
D1704,IoT Device,5G,20620,206-20-4846,20,0.31,2305
D1705,IoT Device,4G,23420,234-20-2323,62,0.31,2028
D1706,Smartphone,4G,20610,206-10-5719,33,0.73,1173
D1707,Smartphone,5G,24008,240-08-1027,20,0.49,1029
D1708,Tablet,4G,24016,240-16-9270,35,0.81,2181
D1709,Smartphone,4G,310480,310-480-3981,41,0.15,2716
D1710,IoT Device,4G,310410,310-410-9047,58,1.49,1358
D1711,Smartphone,5G,24024,240-24-2341,26,0.27,1693
D1712,Smartphone,5G,20620,206-20-4826,15,0.19,907
D1713,Smartphone,3G,23410,234-10-3165,106,1.66,1267
D1714,IoT Device,4G,310120,310-120-6431,51,1.05,49
D1715,Smartphone,3G,310260,310-260-6372,76,2.87,2643
D1716,Tablet,5G,24008,240-08-5173,30,0.17,2265
D1717,Smartphone,5G,20620,206-20-9617,20,0.06,1676
D1718,Smartphone,4G,310480,310-480-3102,54,0.5,857
D1719,IoT Device,3G,310260,310-260-6850,147,3.12,1406
D1720,Smartphone,3G,20605,206-05-5871,112,0.74,2082
D1721,IoT Device,5G,24004,240-04-9786,14,0.46,1089
D1722,Smartphone,5G,20610,206-10-3434,19,0.48,1802
D1723,Smartphone,5G,310260,310-260-8756,22,0.07,620
D1724,IoT Device,4G,20605,206-05-8025,35,0.53,1744
D1725,IoT Device,3G,23430,234-30-2140,118,2.43,2449
D1726,Tablet,5G,20610,206-10-5135,20,0.41,1101
D1727,Tablet,3G,23433,234-33-4176,137,0.78,687
D1728,Tablet,4G,310480,310-480-9740,57,0.81,438
D1729,Tablet,4G,23433,234-33-8138,31,0.61,2946
D1730,IoT Device,3G,23430,234-30-4612,93,3.35,2806
D1731,Tablet,3G,23433,234-33-9214,113,3.34,1982
D1732,Tablet,4G,24001,240-01-6185,61,0.37,32
D1733,Tablet,4G,23420,234-20-6277,38,0.32,878
D1734,Smartphone,5G,20605,206-05-4241,19,0.42,2193
D1735,Tablet,3G,23433,234-33-9363,82,2.02,1667
D1736,Smartphone,3G,20610,206-10-6654,139,3.01,1803
D1737,Tablet,5G,20620,206-20-1251,26,0.03,2725
D1738,Tablet,4G,310480,310-480-3804,51,1.33,1859
D1739,Smartphone,5G,24002,240-02-6155,29,0.07,2846
D1740,IoT Device,5G,310410,310-410-8657,22,0.09,2886
D1741,Smartphone,3G,24005,240-05-5351,93,2.99,348
D1742,Smartphone,5G,24008,240-08-9518,29,0.41,2165
D1743,Smartphone,5G,24002,240-02-2796,15,0.36,1832
D1744,Smartphone,5G,24005,240-05-2188,11,0.21,224
D1745,Smartphone,3G,23420,234-20-2768,100,3.41,701
D1746,Smartphone,3G,23438,234-38-2335,148,1.35,772
D1747,Smartphone,5G,24007,240-07-1634,24,0.12,1898
D1748,Tablet,5G,20601,206-01-9004,17,0.16,2468
D1749,Tablet,5G,310410,310-410-2063,25,0.45,2026
D1750,IoT Device,3G,23430,234-30-7785,94,1.6,2755
D1751,Tablet,4G,24024,240-24-6601,66,1.48,91
D1752,Smartphone,4G,24024,240-24-7882,59,1.18,2325
D1753,Smartphone,5G,310410,310-410-3621,22,0.26,1001
D1754,Smartphone,5G,24016,240-16-7991,23,0.48,2914
D1755,Tablet,4G,310120,310-120-8361,42,1.22,2696
D1756,Smartphone,5G,24004,240-04-9834,14,0.44,108
D1757,Smartphone,5G,20605,206-05-8253,11,0.32,2146
D1758,IoT Device,3G,310410,310-410-5288,117,2.16,2764
D1759,Smartphone,4G,23415,234-15-4629,36,1.1,1878
D1760,Smartphone,4G,23430,234-30-2140,63,1.29,633
D1761,Smartphone,4G,20601,206-01-7046,48,0.22,1484
D1762,IoT Device,5G,24004,240-04-5345,15,0.14,1248
D1763,Smartphone,5G,23415,234-15-2801,26,0.08,1475
D1764,Smartphone,5G,20605,206-05-2880,23,0.05,1191
D1765,Smartphone,3G,23438,234-38-6962,98,2.95,2175
D1766,IoT Device,3G,23410,234-10-1228,114,3.29,592
D1767,Smartphone,4G,310410,310-410-7095,56,0.17,648
D1768,Smartphone,4G,20601,206-01-8690,62,0.62,2924
D1769,IoT Device,4G,310120,310-120-6493,54,1.49,2491
D1770,IoT Device,4G,310260,310-260-6649,53,0.41,297
D1771,Tablet,4G,23433,234-33-8155,50,1.4,1776
D1772,Smartphone,4G,20610,206-10-8941,51,1.21,521
D1773,Tablet,4G,310120,310-120-1025,38,0.15,148
D1774,Smartphone,4G,20601,206-01-8342,60,1.07,2957
D1775,Tablet,5G,24007,240-07-9379,14,0.38,2776
D1776,Smartphone,3G,24002,240-02-2876,130,1.85,1242
D1777,IoT Device,4G,310480,310-480-8632,30,1.37,2369
D1778,Smartphone,5G,310260,310-260-6850,10,0.14,388
D1779,Tablet,4G,310260,310-260-8272,39,0.87,943
D1780,IoT Device,4G,23415,234-15-4538,68,0.84,452
D1781,IoT Device,5G,23433,234-33-4986,13,0.39,2542
D1782,Smartphone,4G,310260,310-260-2106,45,0.52,2803
D1783,Tablet,4G,310480,310-480-3308,33,0.43,2502
D1784,Tablet,3G,20601,206-01-9004,149,1.87,536
D1785,Tablet,4G,310120,310-120-5469,37,1.27,945
D1786,Tablet,5G,24004,240-04-4006,25,0.3,1229
D1787,Smartphone,4G,23438,234-38-4291,31,0.98,64
D1788,Tablet,4G,24004,240-04-2163,66,0.44,1773
D1789,Smartphone,3G,20610,206-10-3434,88,1.37,136
D1790,Tablet,3G,23430,234-30-2140,70,2.34,1637
D1791,Tablet,5G,20605,206-05-8253,17,0.29,454
D1792,Smartphone,4G,20601,206-01-4727,41,1.03,496
D1793,Smartphone,4G,310410,310-410-7340,35,0.83,1178
D1794,Smartphone,4G,24002,240-02-7482,53,0.19,2408
D1795,Smartphone,4G,20601,206-01-9004,63,0.86,2384
D1796,Tablet,3G,23433,234-33-8138,134,2.16,1362
D1797,Smartphone,5G,310480,310-480-9476,22,0.44,2342
D1798,Smartphone,5G,24024,240-24-2129,11,0.32,1887
D1799,Tablet,5G,20610,206-10-9117,21,0.13,1467
D1800,IoT Device,3G,23415,234-15-7078,72,1.57,1496
D1801,Tablet,5G,24005,240-05-4111,12,0.18,1538
D1802,Tablet,3G,24024,240-24-7211,150,0.81,2571
D1803,Tablet,5G,20610,206-10-9117,28,0.37,2310
D1804,Tablet,3G,23430,234-30-8242,112,0.9,1834
D1805,IoT Device,5G,20620,206-20-8110,21,0.28,788
D1806,Smartphone,5G,310260,310-260-6850,30,0.1,2034
D1807,IoT Device,5G,20605,206-05-9090,24,0.49,1680
D1808,IoT Device,5G,24004,240-04-8177,25,0.32,2133
D1809,IoT Device,3G,310410,310-410-3621,87,0.69,1329
D1810,Tablet,5G,24002,240-02-5119,24,0.03,1310
D1811,Tablet,4G,310120,310-120-5469,42,0.16,2624
D1812,Smartphone,3G,20605,206-05-1104,95,3.16,36
D1813,Tablet,5G,23415,234-15-3063,20,0.47,709
D1814,Smartphone,4G,20620,206-20-1715,62,0.66,2541
D1815,Smartphone,4G,23420,234-20-5712,64,0.76,1921
D1816,Smartphone,4G,20610,206-10-8905,32,1.15,2458
D1817,Smartphone,5G,20605,206-05-9502,16,0.15,2864
D1818,Smartphone,4G,310120,310-120-8361,33,1.31,2964
D1819,IoT Device,4G,310410,310-410-9612,51,0.48,1518
D1820,IoT Device,5G,24004,240-04-4502,21,0.22,2316
D1821,Smartphone,5G,20620,206-20-8692,22,0.37,2478
D1822,Smartphone,3G,310260,310-260-8612,119,1.52,719
D1823,Smartphone,3G,310410,310-410-5264,93,1.99,759
D1824,Tablet,5G,20605,206-05-5334,25,0.19,2129
D1825,IoT Device,4G,23420,234-20-6793,63,0.47,1730
D1826,Tablet,5G,23430,234-30-7636,12,0.37,1504
D1827,Smartphone,5G,310260,310-260-7018,12,0.22,2451
D1828,Smartphone,3G,23420,234-20-7132,93,2.14,200
D1829,Smartphone,5G,20610,206-10-1845,20,0.06,1547
D1830,Smartphone,5G,20605,206-05-3573,20,0.33,296
D1831,Smartphone,4G,24005,240-05-5861,49,0.72,979
D1832,IoT Device,4G,23438,234-38-4918,57,0.33,1540
D1833,Smartphone,5G,20620,206-20-3529,24,0.18,2905
D1834,Smartphone,5G,24008,240-08-1027,11,0.37,2238
D1835,Tablet,3G,23433,234-33-3842,115,2.34,627
D1836,Smartphone,5G,20601,206-01-5820,23,0.14,360
D1837,Smartphone,4G,310480,310-480-1464,33,0.21,2677
D1838,Smartphone,5G,24002,240-02-1188,30,0.21,2998
D1839,Smartphone,3G,23410,234-10-5986,135,2.9,2847
D1840,Smartphone,3G,23438,234-38-6401,90,3.36,690
D1841,IoT Device,4G,310120,310-120-8032,39,1.29,814
D1842,Smartphone,3G,20610,206-10-3434,126,0.6,1690
D1843,IoT Device,5G,24008,240-08-3414,12,0.13,341
D1844,Tablet,5G,24007,240-07-5533,30,0.19,893
D1845,Smartphone,4G,20605,206-05-1977,54,1.43,1541
D1846,Smartphone,5G,24005,240-05-6138,11,0.31,2047
D1847,IoT Device,3G,23415,234-15-7523,127,3.35,1976
D1848,IoT Device,3G,310480,310-480-3981,117,1.83,1784
D1849,Tablet,5G,310480,310-480-5336,12,0.29,112
D1850,Smartphone,5G,24024,240-24-5558,26,0.19,1789
D1851,Smartphone,5G,310480,310-480-8632,20,0.33,1348
D1852,Smartphone,3G,20610,206-10-5722,101,3.38,2494
D1853,Tablet,4G,23433,234-33-2734,31,1.13,1400
D1854,Smartphone,4G,24005,240-05-6183,61,0.82,2279
D1855,Smartphone,4G,310260,310-260-9406,65,0.26,1056
D1856,Smartphone,4G,24016,240-16-9270,46,1.09,2168
D1857,IoT Device,3G,20620,206-20-3588,97,3.49,2766
D1858,IoT Device,5G,20605,206-05-8253,19,0.35,1257
D1859,Tablet,5G,20620,206-20-1153,25,0.11,827
D1860,Tablet,4G,24005,240-05-5333,38,1.29,1228
D1861,IoT Device,5G,20601,206-01-8381,24,0.09,2209
D1862,Tablet,4G,24007,240-07-6974,58,1.5,1548
D1863,Smartphone,4G,310260,310-260-6021,50,1.03,2410
D1864,Tablet,5G,24007,240-07-2137,12,0.28,157
D1865,Tablet,3G,20601,206-01-7565,107,3.17,1460
D1866,Smartphone,3G,23410,234-10-6992,90,2.64,2978
D1867,Tablet,4G,310260,310-260-6850,70,0.34,389
D1868,Smartphone,3G,23420,234-20-8030,116,2.03,2022
D1869,Smartphone,5G,20601,206-01-9004,13,0.49,2029
D1870,IoT Device,5G,20605,206-05-5422,14,0.13,85
D1871,IoT Device,3G,23433,234-33-4986,133,0.58,1269
D1872,IoT Device,5G,310410,310-410-4515,27,0.29,1171
D1873,Smartphone,4G,20610,206-10-1042,59,1.23,378
D1874,Smartphone,5G,24024,240-24-2729,27,0.07,554
D1875,Smartphone,4G,20610,206-10-9889,35,0.19,391
D1876,IoT Device,3G,20610,206-10-6153,120,3.5,2223
D1877,Smartphone,3G,20610,206-10-9903,131,2.08,2514
D1878,Tablet,5G,23420,234-20-4705,23,0.41,2235
D1879,Smartphone,5G,310120,310-120-4637,12,0.07,2164
D1880,IoT Device,4G,23430,234-30-2140,50,1.0,640
D1881,Smartphone,5G,24004,240-04-1993,24,0.24,1741
D1882,Smartphone,5G,24024,240-24-6511,26,0.18,289
D1883,Smartphone,4G,20601,206-01-4937,65,1.0,1425
